Concelho Datahora M* FG* Km Via,Natureza
"Belmonte 2004:11:11 13:45:00 1 0 9,400 EN345",Atrop. de peões
"Belmonte 2004:01:14 08:35:00 0 1 1,020 EN345",Colisão frontal
"Belmonte 2004:02:02 19:00:00 1 0 6,900 EN345",Col. lat. c/ veíc. em mov.
C. Branco 2004:09:24 18:30:00 0 1 Av. Gen. Humberto Delgado,Atrop. de peões
C. Branco 2004:04:06 08:00:00 0 1 R. Marquês de Pombal,Atrop. de peões
C. Branco 2004:04:18 13:25:00 0 1 R. Dr. Miguel Lopes,Atrop. de peões
C. Branco 2004:12:10 08:15:00 0 1 R. Eng. Pires Marques,Atrop. de peões
C. Branco 2004:11:27 18:50:00 1 0 Rua Principal,Atrop. de peões
C. Branco 2004:08:06 09:30:00 0 1 R.Bartolomeu Sousa Mexias,Atrop. de peões
C. Branco 2004:09:26 06:45:00 0 1 Estr. da República,Atrop. de peões
"C. Branco 2004:05:16 22:10:00 1 1 104,400 EN233",Atrop. de peões
"C. Branco 2004:10:09 20:28:00 1 1 119,000 A23",Col. c/ veic ou obst.faixa rod.
"C. Branco 2004:10:27 06:40:00 1 0 134,400 A23",Col. c/ veic ou obst.faixa rod.
"C. Branco 2004:04:05 08:30:00 1 1 106,500 IP2",Colisão frontal
C. Branco 2004:01:03 17:30:00 0 1 EF,Colisão frontal
"C. Branco 2004:03:29 13:35:00 0 1 81,000 EN112",Colisão frontal
"C. Branco 2004:08:29 15:50:00 0 3 98,400 EN233",Colisão frontal
C. Branco 2004:09:09 15:30:00 0 1 Av. Brasil,Col. lat. c/ veíc. em mov.
C. Branco 2004:05:17 12:40:00 0 1 Av. do Empresário,Col. lat. c/ veíc. em mov.
"C. Branco 2004:03:20 18:15:00 0 1 0,001 EM1243",Col. lat. c/ veíc. em mov.
R. Pedro Fonsec/R.Prof.Fari
C. Branco 2004:03:09 16:40:00 0 1 Vasconcelos,Col. lat. c/ veíc. em mov.
"C. Branco 2004:01:05 14:00:00 0 1 114,500 A23",Col. lat. c/ veíc. em mov.
"C. Branco 2004:03:31 03:00:00 0 1 125,000 EN233",Desp. c/ capotamento
C. Branco 2004:05:16 19:10:00 0 1 AV. Inf. Sagres,Desp. c/ capotamento
C. Branco 2004:11:12 02:30:00 0 1 Estr. Bruno Pires,Desp. c/ capotamento
"C. Branco 2004:12:18 12:15:00 0 2 0,001 EM548-1",Desp. c/ capotamento
"C. Branco 2004:02:15 08:00:00 0 1 124,860 A23",Desp. c/ capotamento
"C. Branco 2004:06:24 10:20:00 1 0 89,400 EN233",Desp.c/colisão c/veíc imob./obst.
"C. Branco 2004:12:16 12:15:00 0 1 6,500 EN18-2",Despiste com fuga
C. Branco 2004:06:02 00:00:00 0 1 AV. Europa,Desp. c/ transp. disp. ret. lateral
"C. Branco 2004:04:10 01:00:00 1 0 128,100 EN233",Despiste simples
C. Branco 2004:01:26 20:10:00 0 1 R. Gil Vicente,Despiste simples
C. Branco 2004:01:18 09:55:00 1 0 EM548-1,Despiste simples
C. Branco 2004:07:31 04:30:00 1 0 EM,Despiste simples
"C. Branco 2004:03:16 13:10:00 0 1 32,500 EN352",Despiste simples
C. Branco 2004:10:13 17:45:00 1 0 Outra Via,Despiste simples
C. Branco 2004:04:05 09:20:00 0 1 R. Bonfim/B. Boa Esperança,Despiste simples
"C. Branco 2004:10:14 16:50:00 1 0 92,115 EN18",Despiste simples
"C. Branco 2004:10:22 16:10:00 0 1 65,800 EN112",Despiste simples
"C. Branco 2004:12:16 10:30:00 0 1 67,800 EN112",Despiste simples
"C. Branco 2004:12:05 05:25:00 1 1 104,400 EN233",Despiste simples
"C. Branco 2004:01:14 08:10:00 0 1 119,400 A23",Despiste simples
C. Branco 2004:06:20 18:50:00 0 1 R. Cemitério,Despiste simples
Covilhã 2004:06:26 10:45:00 0 1 AV. Torrado Silva,Atrop. de peões
Covilhã 2004:11:13 16:45:00 0 1 Caminho Florestal,Atrop. de peões
"Covilhã 2004:11:22 09:45:00 0 1 0,000 Alameda da Europa",Atrop. de peões
"Covilhã 2004:12:07 17:40:00 1 0 3,950 EN18-3",Atrop. de peões
"Covilhã 2004:04:06 09:35:00 0 1 33,900 EN339",Colisão frontal
Covilhã 2004:12:23 19:20:00 1 0 EM513,Colisão frontal
Covilhã 2004:09:10 01:30:00 0 2 Av. Universidade,Colisão frontal
Covilhã 2004:10:18 00:30:00 1 0 EF,Desp. c/ capotamento
"Covilhã 2004:09:16 18:40:00 0 1 167,200 A23",Desp. c/ capotamento
"Covilhã 2004:10:10 21:00:00 1 0 28,700 EN18",Desp.c/colisão c/veíc imob./obst.
Covilhã 2004:10:03 19:00:00 0 1 R.da Amoreira,Despiste simples
"Covilhã 2004:07:23 18:20:00 0 1 20,900 EN339",Despiste simples
"Fundão 2004:07:21 08:00:00 0 1 57,420 EN18",Atrop. de peões
