Concelho Datahora M* FG* Km Via,Natureza
"Aljustrel 2004:03:31 20:45:00 1 0 94,839 EN261",Atropelamento de peões
Aljustrel 2004:02:14 18:30:00 0 1 R. Lisboa,Colisão c/outras situações
"Aljustrel 2004:07:02 18:00:00 0 1 46,100 EN263",Despiste simples
"Aljustrel 2004:09:11 15:50:00 0 1 154,500 A2",Despiste c/capotamento
"Aljustrel 2004:12:06 00:00:00 0 1 378,400 EN18",Despiste c/capotamento
Aljustrel 2004:11:16 13:40:00 1 0 EM530,Despiste c/capotamento
"Aljustrel 2004:08:25 09:10:00 0 1 140,650 A2",Despiste simples
"Aljustrel 2004:06:20 01:30:00 0 1 605,500 EN2",Despiste c/capotamento
"Aljustrel 2004:03:12 16:25:00 0 1 142,000 A2",Colisão c/outras situações
Aljustrel 2004:01:23 19:00:00 1 0 EM527,Col. traseira c/veic. em mov.
"Almodôvar 2004:12:11 21:15:00 0 1 72,300 ER393",Despiste c/capotamento
"Almodôvar 2004:10:05 11:15:00 1 1 205,500 A2",Despiste c/capotamento
Almodôvar 2004:07:19 20:15:00 0 1 EM1201,Despiste simples
Almodôvar 2004:05:29 20:40:00 0 1 EM,Colisão frontal
"Almodôvar 2004:08:23 17:10:00 1 1 192,350 A2",Desp. c/transp. disp. ret. lateral
"Almodôvar 2004:08:08 18:30:00 0 1 194,000 A2",Desp.c/colisão c/veíc.imob./obst.
"Almodôvar 2004:08:29 20:30:00 0 1 206,200 A2",Colisão choque em cadeia
"Almodôvar 2004:05:04 08:30:00 0 1 659,200 EN2",Despiste simples
"Almodôvar 2004:04:30 23:05:00 1 0 188,300 A2",Despiste c/capotamento
Almodôvar 2004:03:03 16:10:00 0 1 Rua do Quartel da GNR,Desp. c/transp. disp. ret. lateral
Almodôvar 2004:03:20 16:30:00 0 1 EM,Despiste c/capotamento
Almodôvar 2004:02:01 15:20:00 0 1 EM1207,Despiste simples
"Almodôvar 2004:02:18 22:05:00 0 1 188,050 A2",Col. traseira c/veic. em mov.
Almodôvar 2004:01:23 09:30:00 0 1 R. Serpa Pinto,Atropelamento de peões
Almodôvar 2004:01:13 10:30:00 1 0 EM1167,Despiste c/capotamento
Almodôvar 2004:10:14 08:30:00 0 2 EM1202,Colisão frontal
"Barrancos 2004:02:01 02:50:00 0 1 52,426 EN386",Col. traseira c/veic. em mov.
Beja 2004:03:31 13:00:00 0 1 EM513,Despiste simples
"Beja 2004:05:14 17:15:00 1 0 1,100 EN122",Col. lat. c/veic. em mov.
"Beja 2004:06:19 07:50:00 1 0 69,600 EN121",Atropelamento de peões
"Beja 2004:06:24 01:30:00 1 0 358,600 IP2",Despiste s/dis p. de retenção
"Beja 2004:06:27 07:15:00 0 1 362,600 EN18",Despiste simples
"Beja 2004:07:06 15:00:00 0 1 16,600 EN260",Despiste simples
"Beja 2004:08:29 07:40:00 1 0 340,000 EN18",Colisão frontal
"Beja 2004:09:02 13:00:00 1 0 368,000 IP2",Colisão frontal
"Beja 2004:11:24 00:58:00 0 1 0,000 Outra Via",Despiste c/capotamento
"Beja 2004:11:06 00:20:00 0 1 0,000 EM528",Despiste c/capotamento
"Beja 2004:12:21 09:20:00 0 2 69,200 EN121",Col. lat. c/veic. em mov.
Beja 2004:09:09 16:30:00 0 1 EN260,Atropelamento de peões
"Beja 2004:04:24 09:10:00 0 1 1,045 EN260",Col. lat. c/veic. em mov.
"Beja 2004:01:28 00:05:00 0 1 3,000 EN260",Atropelamento de peões
Beja 2004:03:20 00:15:00 0 1 Av. Salgueiro Maia,Despiste simples
Beja 2004:12:30 00:15:00 0 1 R. Bento Jesus Caraça,Atropelamento de peões
"Beja 2004:10:02 20:15:00 2 0 342,400 EN18",Colisão frontal
"Beja 2004:09:05 19:35:00 0 1 351,200 IP2",Despiste c/capotamento
Beja 2004:08:30 01:00:00 0 1 EM,Despiste simples
"Beja 2004:01:15 21:30:00 0 1 4,900 EN260",Atropelamento de peões
"Beja 2004:01:09 06:45:00 0 1 70,500 EN121",Despiste c/capotamento
Beja 2004:02:09 12:00:00 0 1 EN388,Despiste simples
"Beja 2004:02:28 08:15:00 0 1 15,000 EN260",Despiste c/capotamento
"Castro Verde 2004:02:29 22:25:00 1 4 390,000 IP2",Colisão frontal
"Castro Verde 2004:12:09 19:50:00 0 1 390,300 IP2",Col. traseira c/veic. em mov.
"Cuba 2004:10:30 12:05:00 0 1 5,023 EN258-1",Despiste simples
"Cuba 2004:11:22 00:00:00 0 1 22,600 EN387",Colisão frontal
"Cuba 2004:07:21 15:50:00 0 1 16,900 EN387",Despiste simples
"Fer. do Alentejo 2004:06:07 18:40:00 0 1 117,200 ER267",Desp.c/colisão c/veíc.imob./obst.
"Fer. do Alentejo 2004:04:03 16:40:00 0 2 139,225 A2",Despiste c/capotamento
