Concelho Datahora M* FG* Km Via,Natureza
Aguiar Beira 2005:08:11 19:30:00 0 1 EM1029,Colisão frontal
Almeida 2005:01:05 22:10:00 0 1 R. Cruz,Atropelamento de peões
"Almeida 2005:01:12 01:00:00 1 0 62,000 EN332",Despiste simples
"Almeida 2005:11:03 08:45:00 0 1 190,600 A25",Despiste c/ disp. de retenção
"Almeida 2005:11:11 22:15:00 1 2 194,800 A25",Despiste c/ capotamento
"Almeida 2005:12:31 00:15:00 0 1 190,037 A25",Despiste c/ capotamento
"Celorico Beira 2005:01:13 18:10:00 0 1 133,200 EN102",Atropelamento de peões
"Celorico Beira 2005:04:20 07:30:00 1 0 126,700 EN17",Despiste simples
Celorico Beira 2005:07:20 22:30:00 0 1 EM553,Despiste c/ capotamento
"Celorico Beira 2005:08:25 20:30:00 0 2 156,950 EN16",Desp c/transp.disp.ret. lateral
"Celorico Beira 2005:08:29 19:35:00 1 0 148,200 IP5",Colisão frontal
"Celorico Beira 2005:09:19 09:45:00 1 0 122,800 EN17",Atropelamento de peões
Celorico Beira 2005:06:18 20:00:00 1 1 EM607,Despiste simples
Gouveia 2005:02:03 14:15:00 0 1 Av. Emídio Navarro,Colisão frontal
Gouveia 2005:02:09 18:50:00 0 1 R.Casimiro Andrade,Col. lateral c/veíc. em mov.
"Gouveia 2005:03:11 05:20:00 0 1 164,000 IP5",Desp.c/col.c/veíc.imobil./obst.
Gouveia 2005:03:27 14:45:00 0 1 EM - Estrada Municipal,Colisão frontal
"Gouveia 2005:04:10 22:10:00 0 1 21,400 EN232",Despiste c/ capotamento
Gouveia 2005:07:27 11:10:00 0 1 R.Casimiro Andrade,Atropelamento de peões
Gouveia 2005:08:05 07:30:00 0 1 EM502,Despiste c/ capotamento
"Gouveia 2005:08:23 00:28:00 0 1 0,400 EN330-1",Despiste c/ capotamento
"Gouveia 2005:08:30 21:00:00 0 1 110,282 EN17",Col. traseira c/veículo em mov.
"Gouveia 2005:11:25 12:45:00 0 1 33,000 EN232",Despiste c/ capotamento
"Gouveia 2005:12:10 20:05:00 0 1 1,100 EN330-1",Atropelamento de peões
Guarda 2005:01:09 19:30:00 0 1 EM577,Despiste simples
"Guarda 2005:03:02 18:45:00 1 0 164,400 IP5",Colisão frontal
"Guarda 2005:04:04 14:10:00 0 1 1,500 EN233",Despiste c/ capotamento
Guarda 2005:04:09 18:42:00 1 0 EM - Estrada Municipal,Despiste simples
Guarda 2005:04:28 21:15:00 0 1 R. OUTEIRO,Atropelamento de peões
Guarda 2005:05:01 15:15:00 0 1 Estrada do Rio Diz,Despiste simples
Guarda 2005:05:24 12:10:00 0 1 Estrada do Rio Diz,Col. traseira c/veículo em mov.
Guarda 2005:05:27 19:45:00 0 1 EM1165,Atropelamento com fuga
Guarda 2005:05:30 22:10:00 0 1 Rua Sr.a dos Remédios,Atropelamento de peões
Guarda 2005:06:01 14:15:00 0 1 Av. Afonso Costa,Colisão frontal
Guarda 2005:06:20 21:10:00 0 1 Pç. Francisco Salgado Zenha,Atropelamento de peões
Guarda 2005:07:20 18:40:00 0 1 Av. Cidade de Salamanca,Atropelamento de peões
Guarda 2005:09:18 15:25:00 0 1 R VILA MANTEIGAS,Despiste simples
Guarda 2005:10:09 05:10:00 0 1 Av Mons. Mendes Carmo,Despiste simples
Guarda 2005:10:23 03:45:00 0 1 EM571,Despiste simples
Guarda 2005:10:24 16:10:00 0 1 Av. Rainha D. Amélia,Atropelamento de peões
"Guarda 2005:10:30 21:00:00 0 1 156,700 IP5",Despiste simples
"Guarda 2005:11:26 17:20:00 0 1 176,195 EN221",Col. lateral c/veíc. em mov.
"Meda 2005:05:30 13:30:00 1 0 44,700 EN324",Despiste com capotamento
"Meda 2005:08:08 17:15:00 1 0 27,860 EN332",Col. lateral c/veíc. em mov.
Meda 2005:10:14 17:40:00 0 1 R. Direita,Despiste s/ disp. de retenção
Meda 2005:11:14 09:30:00 1 1 EM - Estrada Municipal,Despiste com capotamento
"Meda 2005:12:07 18:30:00 0 3 97,800 EN102",Col. lateral c/veíc. em mov.
"Pinhel 2005:01:08 22:00:00 0 1 161,300 EN221",Desp.c/col.c/veíc.imobil./obst.
Pinhel 2005:03:19 13:30:00 1 0 EM1070,Despiste simples
Pinhel 2005:05:10 21:30:00 0 2 R.Fonte Nova,Col. c/veic. ou obst.faixa rod.
"Pinhel 2005:05:15 06:45:00 1 0 176,500 A25",Despiste c/ capotamento
"Pinhel 2005:06:09 07:54:00 0 2 199,800 EN16",Colisão frontal
"Pinhel 2005:07:15 12:40:00 0 1 168,100 EN221",Despiste simples
"Pinhel 2005:09:07 16:30:00 0 2 87,200 EN324",Desp.c/col.c/veíc.imobil./obst.
"Pinhel 2005:10:01 15:00:00 0 1 174,700 EN221",Col. traseira c/veículo em mov.
Pinhel 2005:10:05 10:30:00 1 0 EM595-2,Despiste simples
"Pinhel 2005:10:18 18:30:00 0 1 168,000 EN221",Desp.c/col.c/veíc.imobil./obst.
