Concelho Datahora M* FG* Via,km,Natureza
Bragança 2006:01:05 22:45:00 1 0 IP4,"221,320",Atropelamento peões
Bragança 2006:01:22 04:15:00 1 0 EN103,"259,700",Desp.c/ transpos. disp. ret. lateral
Bragança 2006:02:19 20:15:00 0 1 Av. Sá Carneiro,,Atropelamento peões
Bragança 2006:02:19 22:00:00 0 1 IP4,"215,500",Desp. c/ capotamento
Bragança 2006:03:10 19:10:00 0 2 EM503,,Despiste simples
Bragança 2006:05:01 11:15:00 0 1 Lg. Igreja,,Atropelamento peões
Bragança 2006:05:19 17:30:00 0 1 Estrada Municipal,,Despiste simples
Bragança 2006:05:28 22:45:00 0 1 EM518,,Despiste simples
Bragança 2006:06:05 12:30:00 0 1 Av. João Cruz,,Col.lat. c/ veic. em mov.
Bragança 2006:06:13 23:50:00 0 1 EN15,,Desp.c/ col. c/ veic. imob. ou obst.
Bragança 2006:06:28 16:00:00 0 1 EM1061,"1,900",Desp. s/ dispos. retenção
Bragança 2006:07:01 05:15:00 1 0 EN217,,Desp.c/ col. c/ veic. imob. ou obst.
Bragança 2006:07:01 21:30:00 0 1 EM1047,,Despiste c/ fuga
Bragança 2006:07:07 00:20:00 1 1 IP4,"189,600",Col.lat. c/ veic. em mov.
Bragança 2006:07:31 03:30:00 0 1 Av. Sta. Apolónia,,Desp.c/ col. c/ veic. imob. ou obst.
Bragança 2006:08:12 03:00:00 0 2 R. 22 de Maio,,Col. traseira c/ veic. em mov.
Bragança 2006:08:19 15:15:00 0 1 EM1042,,Col.lat. c/ veic. em mov.
Bragança 2006:09:03 18:50:00 0 1 EM503,,Col.lat. c/ veic. em mov.
Bragança 2006:10:06 19:30:00 0 1 R. Abílio Boça,,Atropelamento peões
Bragança 2006:10:23 11:20:00 0 1 EN203,"257,000",Colisão frontal
Bragança 2006:11:01 17:00:00 0 1 Av. Carmona Lima,,Colisão frontal
Bragança 2006:11:20 20:07:00 0 1 Av. Abade Baçal,,Atropelamento peões
Bragança 2006:11:22 22:50:00 0 1 EM503,,Despiste simples
Bragança 2006:12:19 14:15:00 0 1 EM521,,Desp. c/ capotamento
Carraz. de Ansiães 2006:01:19 08:00:00 1 0 Estrada Municipal,,Col.c/ veic. ou obst. faixa rod.
Carraz. de Ansiães 2006:07:06 18:30:00 0 1 R. Amendoeiras,,Desp.c/ col. c/ veic. imob. ou obst.
Carraz. de Ansiães 2006:07:11 21:25:00 0 1 Estrada Municipal,,Desp. c/ capotamento
Mac. de Cavaleiros 2006:04:09 14:18:00 0 1 R. Alexandre Herculano,,Colisão frontal
Mac. de Cavaleiros 2006:05:02 15:05:00 0 1 EM564,"2,000",Despiste simples
Mac. de Cavaleiros 2006:05:24 16:00:00 0 1 EN216,"12,600",Col.lat. c/ veic. em mov.
Mac. de Cavaleiros 2006:07:15 16:05:00 0 1 Outra Via,,Col.lat. c/ veic. em mov.
