Concelho Datahora M* FG* Via,km,Natureza
Carregal do Sal 2007:06:11 15:50:00 0 1 EN337,"50,000",Colisão frontal
Carregal do Sal 2007:03:18 18:50:00 0 1 IC12,"16,800",Despiste com capotamento
Carregal do Sal 2007:01:24 23:35:00 2 1 R ANTONIO RODRIGUES,,Despiste c/ col c/ veíc. imob/obst.
SILVA,,
Carregal do Sal 2007:05:08 17:50:00 0 1 URBANO SUL VILA,,Colisão frontal
Carregal do Sal 2007:08:05 18:50:00 1 0 R NOVA,,Despiste simples
Carregal do Sal 2007:11:01 11:00:00 1 0 Estrada Municipal,,Despiste com capotamento
Castro Daire 2007:07:13 22:45:00 1 0 A24,"123,700",Col. tras. c/ outro veíc. mov.
Castro Daire 2007:04:13 11:10:00 0 2 EN225,"75,760",Despiste com capotamento
Castro Daire 2007:03:10 13:00:00 0 1 EN321,"46,500",Despiste simples
Castro Daire 2007:12:20 21:30:00 0 2 R VILA OURIQUE,,Colisão frontal
Cinfães 2007:06:29 21:45:00 0 1 EN222,"73,500",Atropelamento peões
Cinfães 2007:04:15 09:20:00 0 1 EN321,"33,050",Colisão frontal
Cinfães 2007:01:21 03:30:00 0 2 EM556,,Despiste simples
Cinfães 2007:07:18 14:30:00 0 1 Estrada Municipal,,Despiste c/ col c/ veíc. imob/obst.
Cinfães 2007:07:19 09:40:00 0 1 Estrada Municipal,,Atropelamento peões
Lamego 2007:08:18 08:15:00 0 1 EN222,"133,180",Col. lat. c/ outro veíc. mov.
Lamego 2007:11:10 11:00:00 1 0 A24,"100,150",Despiste c/ col c/ veíc. imob/obst.
Lamego 2007:06:02 19:00:00 1 0 EN2,"96,890",Despiste simples
Lamego 2007:10:10 15:40:00 1 0 EN2,"96,580",Despiste c/ transp. disp. ret. lateral
Lamego 2007:08:12 14:45:00 1 0 EN226,"21,050",Despiste simples
Lamego 2007:07:11 21:00:00 0 1 EM1078,"1,000",Despiste simples
Lamego 2007:03:25 04:25:00 0 2 AV DR EGAS MONIZ,,Colisão frontal
Lamego 2007:11:26 09:15:00 0 1 AV D R EGAS MONIZ,,Atropelamento peões
Lamego 2007:12:21 11:45:00 0 1 AV VISCONDE GUEDES TEIXEIRA,,Atropelamento peões
Mangualde 2007:05:10 05:30:00 1 0 EN234,"98,650",Colisão frontal
Mangualde 2007:01:12 12:50:00 3 1 EN232,"3,500",Col. tras. c/ outro veíc. mov.
Mangualde 2007:04:16 19:45:00 0 1 R MIRA SERRA,,Despiste simples
Mangualde 2007:06:26 10:50:00 0 1 EM595,,Colisão frontal
Mangualde 2007:07:06 11:15:00 0 1 ALTO FEIRINHA,,Despiste simples
Mangualde 2007:07:06 11:40:00 0 1 R PRINCIPAL,,Atropelamento peões
Moim. da Beira 2007:05:12 00:30:00 0 2 EN226,"39,600",Despiste simples
Moim. da Beira 2007:01:20 11:50:00 0 1 Estrada Municipal,,Despiste simples
Moim. da Beira 2007:02:15 13:20:00 1 0 R COSTA,,Despiste com capotamento
Moim. da Beira 2007:04:18 12:10:00 0 1 R MATA,,Atropelamento peões
Moim. da Beira 2007:05:17 08:10:00 0 1 EM514,,Colisão frontal
Moim. da Beira 2007:07:17 18:50:00 1 1 Estrada Municipal,,Despiste com capotamento
Moim. da Beira 2007:11:19 17:30:00 0 1 AV 25 ABRIL,,Atropelamento peões
Mortágua 2007:12:13 14:15:00 1 0 EN228,"80,500",Col. lat. c/ outro veíc. mov.
Mortágua 2007:01:22 12:45:00 2 0 EN234,"51,600",Colisão frontal
Mortágua 2007:11:04 21:20:00 1 0 EN234,"48,500",Colisão com fuga
Mortágua 2007:01:28 18:40:00 0 1 EN334-1,"13,000",Atropelamento peões
Mortágua 2007:10:27 20:10:00 0 1 R S JOSE,,Colisão frontal
Nelas 2007:04:04 16:20:00 0 1 EN231,"25,500",Colisão frontal
Nelas 2007:02:08 12:15:00 1 0 AV EL REI D DINIS,,Despiste com capotamento
Nelas 2007:03:31 09:30:00 0 1 R ESTAÇÃO,,Despiste simples
Nelas,2007:11:25 09:00:00,0,2,Estrada Municipal,,Atropelamento peões
Ol. de Frades,2007:08:03 21:00:00,0,2,EN16,"43,050",Colisão frontal
Ol. de Frades,2007:05:31 19:30:00,0,1,R ESTRADA MUNICIPAL,,Col. lat. c/ outro veíc. mov.
Pen. do Castelo,2007:06:29 10:20:00,0,2,R D MANUEL I,,Atropelamento peões
Resende,2007:09:15 16:04:00,0,1,EN222,"99,120",Col. lat. c/ outro veíc. mov.
Concelho,Datahora,M,FG,Via,km,Natureza
Resende,2007:12:12 18:15:00,0,1,R NINES PONTE,,Atropelamento peões
S. J. Pesqueira,2007:05:30 20:45:00,1,0,EN323,"32,800",Despiste simples
S. J. Pesqueira,2007:06:26 14:10:00,0,1,EM1122,"1,100",Despiste simples
S. Pedro do Sul,2007:05:04 23:00:00,0,1,EN16,"73,800",Despiste simples
S. Pedro do Sul,2007:09:28 17:15:00,0,1,EN228,"19,800",Col. lat. c/ outro veíc. mov.
S. Pedro do Sul,2007:07:06 22:40:00,0,1,Estrada Municipal,,Despiste simples
S. Pedro do Sul,2007:07:09 08:30:00,0,1,Estrada Municipal,,Despiste s/ disp. retenção
S. Pedro do Sul,2007:07:18 20:00:00,0,1,Estrada Municipal,,Atropelamento peões
S. Pedro do Sul,2007:07:31 07:30:00,0,1,R ESCOLA,,Despiste s/ disp. retenção
S. Pedro do Sul,2007:08:29 12:45:00,0,1,Estrada Municipal,,Despiste simples
Sátão,2007:05:05 22:10:00,1,0,EN229,"54,500",Desp. c/ transp. disp. ret.
,,,,,,lateral
Sátão,2007:01:03 16:20:00,0,1,Estrada Municipal,,Col. lat. c/ outro veíc. mov.
Sátão,2007:01:05 16:20:00,0,1,EM1345,,Col. lat. c/ outro veíc. mov.
Sátão,2007:01:25 09:20:00,0,1,R CONDE D HENRIQUE,,Atropelamento peões
Sátão,2007:07:01 19:20:00,0,1,Estrada Municipal,,Atropelamento c/ fuga
Sernancelhe,2007:05:16 21:15:00,0,1,EN226,"68,138",Despiste com capotamento
Sernancelhe,2007:01:23 18:30:00,0,1,EN226,"53,750",Colisão frontal
Sta. Comba Dão,2007:11:03 19:40:00,0,1,IP3,"91,800",Col. lat. c/ outro veíc. mov.
Sta. Comba Dão,2007:09:16 04:00:00,1,0,EN234,"68,100",Despiste s/ disp. retenção
Sta. Comba Dão,2007:04:10 10:15:00,0,1,AV SA CARNEIRO,,Atropelamento peões
Tabuaço,2007:02:26 13:30:00,0,1,EM515-1,,Despiste s/ disp. retenção
Tabuaço,2007:07:29 18:45:00,0,2,Estrada Municipal,,Col. c/ veíc./obst. f. rodagem
Tarouca,2007:08:26 13:50:00,0,1,EN226,"26,100",Atropelamento peões
Tarouca,2007:06:07 17:30:00,0,1,EN226,"22,800",Col. lat. c/ outro veíc. mov.
Tarouca,2007:01:05 17:30:00,0,1,AV SA CARNEIRO,,Atropelamento peões
Tarouca,2007:08:24 22:10:00,1,0,AV ALEXANDRE TAVEIRA CARDOSO,,Desp. c/ col c/ veíc. imob/obst.
Tarouca,2007:11:21 15:20:00,0,1,LUGAR RIBEIRO,,Despiste s/ disp. retenção
Tondela,2007:07:09 16:30:00,1,1,IP3,"93,700",Colisão frontal
Tondela,2007:03:30 20:25:00,0,1,R PRINCIPAL,,Atropelamento peões
Tondela,2007:04:22 22:45:00,0,1,R CEMITERIO,,Despiste s/ disp. retenção
Tondela,2007:04:26 12:55:00,0,1,Estrada Municipal,,Col. tras. c/ outro veíc. mov.
Tondela,2007:06:04 10:10:00,0,1,R TOMAS RIBEIRO,,Atropelamento peões
Tondela,2007:06:09 11:30:00,0,2,R STO AMARO TONDA,,Atropelamento peões
Tondela,2007:06:20 10:15:00,0,1,AV DR JOÃO ALMIRO,,Col. lat. c/ outro veíc. mov.
Tondela,2007:06:24 16:50:00,0,1,EN337,,Despiste simples
Tondela,2007:07:14 13:20:00,0,1,R JOÃO CARDOSO,,Colisão frontal
