Concelho Datahora M* FG* Via,km,Natureza
Alter do Chão 2007:10:27 15:15:00 0 1 EN119,"113,965",Despiste c/ col c/ veíc. imob/obst.
Arronches 2007:11:12 11:40:00 0 1 EN371,"15,700",Col. lat. c/ outro veíc. mov.
Avis 2007:02:13 12:30:00 0 1 EM1064,,Colisão frontal
Avis 2007:10:20 04:00:00 0 1 LG CANDIDO REIS,,Despiste s/ disp. retenção
Campo Maior 2007:09:28 00:35:00 0 1 EN373,"10,097",Despiste simples
Campo Maior 2007:08:18 03:00:00 0 1 EN243,"192,700",Despiste simples
Campo Maior 2007:10:06 05:30:00 0 2 EM1114,,Despiste com capotamento
Castelo de Vide 2007:10:26 09:45:00 0 1 EN246-1,"3,600",Atropelamento peões
Castelo de Vide 2007:12:05 05:30:00 0 1 EN246-1,"5,794",Despiste simples
Crato 2007:01:29 09:50:00 0 1 EN119,"141,750",Despiste com capotamento
Elvas 2007:11:25 21:55:00 0 1 EN243-1,"0,200",Despiste simples
Elvas 2007:08:15 20:50:00 0 1 EN373,"16,900",Despiste c/ col c/ veíc. imob/obst.
Elvas 2007:10:11 20:50:00 0 1 EN373,"31,500",Despiste com capotamento
Elvas 2007:08:27 22:00:00 0 1 EN246,"75,400",Despiste c/ col c/ veíc. imob/obst.
Elvas 2007:02:08 23:30:00 2 0 EN246,"76,300",Colisão frontal
Elvas 2007:05:27 02:46:00 0 1 EN4,"164,000",Despiste com fuga
Elvas 2007:09:08 08:45:00 0 1 EN4,"184,000",Despiste c/ col c/ veíc. imob/obst.
Elvas 2007:03:03 20:00:00 1 0 Estrada Municipal,,Colisão com fuga
Elvas 2007:03:31 13:40:00 0 1 R SA BANDEIRA,,Col. c/ veíc./obst. f. rodagem
Elvas 2007:05:02 09:30:00 0 1 ESTR CIRCUNVALAÇAO,,Despiste c/ col c/ veíc. imob/obst.
Elvas 2007:05:02 20:30:00 0 1 AV BADAJOZ,,Despiste simples
Elvas 2007:05:13 07:45:00 0 1 ESTR RAPOSEIRA,,Colisão com fuga
