Concelho Datahora M* FG* Km Via,Natureza
"Aljustrel 2005:01:06 14:30:00 1 0 624,9 EN2",Desp.c/col.c/veíc.imobil.ou obst.
"Aljustrel 2005:01:08 13:35:00 0 1 157,35 A2",Desp.c/transp.dispos.de ret. lat.
"Aljustrel 2005:02:14 05:00:00 1 0 614,7 EN2",Despiste simples
"Aljustrel 2005:04:24 13:30:00 0 1 103,3 EN261",Desp.c/transp.dispos.de ret. lat.
"Aljustrel 2005:05:15 23:20:00 1 0 147,7 A2",Despiste c/capotam.
"Aljustrel 2005:07:13 15:30:00 0 1 609,5 EN2",Despiste c/capotam.
"Aljustrel 2005:08:13 15:30:00 0 1 152,808 A2",Despiste c/capotam.
"Aljustrel 2005:09:05 00:10:00 0 1 604,500 EN2",Desp.c/col.c/veíc.imobil.ou obst.
Aljustrel 2005:11:24 18:30:00 0 1 Estr. Aljustrel,Despiste simples
"Aljustrel 2005:12:17 01:50:00 0 1 611,700 EN2",Despiste c/capotam.
Aljustrel 2005:12:17 04:50:00 0 1 EM527,Despiste c/capotam.
"Aljustrel 2005:12:18 16:20:00 0 1 145,600 A2",Desp.c/transp.dispos.de ret. lat.
"Almodôvar 2005:03:02 20:56:00 0 1 676,300 ER2",Despiste simples
"Almodôvar 2005:05:15 06:15:00 1 0 651,000 EN2",Despiste simples
Almodôvar 2005:07:25 00:05:00 0 1 Azinhaga Borrego,Despiste simples
Almodôvar 2005:08:09 20:50:00 0 1 Estr. S. Sebastião,Atropelamento peões
Almodôvar 2005:10:09 14:30:00 0 1 EM1198,Colisão frontal
"Almodôvar 2005:11:07 07:00:00 0 2 200,200 A2",Despiste s/dispos.de ret.
Almodôvar 2005:11:08 19:00:00 0 1 EM - Estrada Municipal,Despiste c/capotam.
"Alvito 2005:12:24 01:45:00 0 2 4,500 EN258",Despiste simples
"Barrancos 2005:07:10 06:00:00 0 1 50,600 EN386",Despiste c/capotam.
Beja 2005:01:11 16:20:00 0 1 R. Moinho,Col.lat.c/outro veíc.em mov.
Beja 2005:03:15 15:10:00 0 1 Hospital Beja,Atropelamento peões
"Beja 2005:03:26 02:00:00 0 1 3,700 EN260",Despiste simples
"Beja 2005:04:17 00:30:00 0 1 1,500 EN122",Despiste c/capotam.
Beja 2005:05:15 19:10:00 0 1 EM511,Despiste simples
"Beja 2005:05:26 00:00:00 0 2 51,000 EM521",Col.lat.c/outro veíc.em mov.
"Beja 2005:07:12 21:50:00 1 1 377,155 EN18",Desp.c/col.c/veíc.imobil.ou obst.
Beja 2005:07:14 16:40:00 0 1 EM  Estrada Municipal,Despiste c/capotam.
Beja 2005:09:18 04:00:00 0 1 EM  Estrada Municipal,Despiste simples
"Beja 2005:10:06 20:30:00 1 0 2,000 EN260",Atropelamento peões
Beja 2005:10:29 12:30:00 0 1 EM  Estrada Municipal,Despiste simples
"Beja 2005:11:01 16:43:00 0 1 350,800 IP2",Despiste simples
"Beja 2005:11:02 14:45:00 0 1 0,300 EN260",Col.tras.c/outro veíc. em mov.
"Castro Verde 2005:08:10 17:15:00 1 1 384,250 IP2",Colisão frontal
"Castro Verde 2005:09:05 16:30:00 0 1 47,200 EN2",Despiste simples
"Castro Verde 2005:09:07 12:20:00 0 1 379,300 IP2",Col.lat.c/outro veíc.em mov.
Castro Verde 2005:09:13 20:50:00 1 0 EM1139,Despiste simples
"Castro Verde 2005:09:30 17:00:00 2 0 67,900 EN123",Colisão frontal
"Cuba 2005:05:08 06:10:00 0 1 15,700 EN258-1",Despiste c/capotam.
"Cuba 2005:06:17 17:50:00 0 1 22,200 EN387",Despiste simples
"Cuba 2005:11:11 21:20:00 0 1 330,000 EN18",Despiste c/capotam.
"F.. do Alentejo 2005:05:11 17:00:00 1 1 55,100 EN121",Colisão frontal
"F. do Alentejo 2005:06:14 09:40:00 0 1 47,940 EN121",Despiste c/capotam.
"F.. do Alentejo 2005:08:19 00:30:00 0 1 582,150 EN2",Despiste c/capotam.
"F.. do Alentejo 2005:08:19 12:50:00 0 4 130,650 A2",Despiste c/capotam.
"F.. do Alentejo 2005:10:09 16:45:00 0 1 588,700 EN2",Despiste c/capotam.
"F.. do Alentejo 2005:11:11 07:00:00 0 2 50,000 EN121",Despiste c/capotam.
"F.. do Alentejo 2005:11:21 02:40:00 0 1 32,800 EN121",Desp.c/col.c/veíc.imobil.ou obst.
F.. do Alentejo 2005:12:06 20:30:00 0 1 R. Gen. Humberto Delgado,Col.c/veic.ou obstác.na f.de rod.
"F.. do Alentejo 2005:12:20 06:10:00 0 1 130,600 A2",Despiste simples
"Mértola 2005:01:19 07:35:00 1 0 89,600 ER123",Desp.c/col.c/veíc.imobil.ou obst.
"Mértola 2005:04:22 16:02:00 0 1 20,845 EN122",Col.lat.c/outro veíc.em mov.
"Mértola 2005:06:13 20:50:00 0 2 1,500 EM1146",Colisão frontal
"Moura 2005:01:17 16:00:00 0 1 18,350 EN385",Col.lat.c/outro veíc.em mov.
"Moura 2005:02:03 12:45:00 0 1 22,432 EN385",Col.lat.c/outro veíc.em mov.
"Moura 2005:08:14 08:30:00 0 1 76,580 EN258",Despiste c/capotam.
