Concelho Datahora M* FG* Via,km,Natureza
Arganil 2006:02:16 00:15:00 1 0 Estrada Municipal,,Desp.c/ col. c/ veic. imob. ou obst.
Arganil 2006:09:08 09:55:00 0 1 EM544,,Atropelamento peões
Arganil 2006:10:28 10:15:00 1 0 EN344,"7,950",Col.c/ veic. ou obst. faixa rod.
Arganil 2006:12:14 13:12:00 0 2 EN344,"6,900",Colisão frontal
Arganil 2006:12:22 19:20:00 0 1 EN342,"91,100",Despiste simples
Cantanhede 2006:01:01 10:00:00 0 1 EM538,,Col. traseira c/ veic. em mov.
Cantanhede 2006:01:02 17:50:00 0 1 Av. Bombeiros Voluntários,,Col.lat. c/ veic. em mov.
Cantanhede 2006:03:02 08:45:00 0 1 R. Caveiros,,Col.lat. c/ veic. em mov.
Cantanhede 2006:03:20 15:15:00 1 0 EN234,"23,000",Colisão frontal
Cantanhede 2006:03:22 12:10:00 0 1 R. Lavadouro,,Despiste simples
Cantanhede 2006:04:05 08:00:00 0 1 EN335,"30,500",Despiste simples
Cantanhede 2006:05:25 12:50:00 1 0 EM1038,,Desp. c/ capotamento
Cantanhede 2006:05:30 07:55:00 1 0 EN234-1,"6,800",Col.lat. c/ veic. em mov.
Cantanhede 2006:05:31 19:10:00 0 1 R. Caveiros,,Colisão frontal
Cantanhede 2006:06:04 04:20:00 1 0 R. Principal,,Desp.c/ col. c/ veic. imob. ou obst.
Cantanhede 2006:06:11 22:45:00 0 1 R. Lagoa,,Despiste simples
Cantanhede 2006:07:05 22:58:00 0 1 R. Prof. Mota Pinto,,Col. traseira c/ veic. em mov.
Cantanhede 2006:07:22 21:30:00 0 1 Estrada Municipal,,Desp. c/ dispos. retenção
Cantanhede 2006:08:11 07:50:00 0 1 EN234,"19,550",Col.lat. c/ veic. em mov.
Cantanhede 2006:08:17 06:30:00 1 0 EM583,,Despiste simples
Cantanhede 2006:09:06 18:30:00 0 1 EN234-1,"12,100",Col. traseira c/ veic. em mov.
Cantanhede 2006:10:02 06:00:00 1 0 EN109,"95,600",Col.c/ veic. ou obst. faixa rod.
Cantanhede 2006:10:28 07:30:00 0 1 EN234,"16,800",Despiste simples
Cantanhede 2006:11:24 18:50:00 0 1 EN335,"39,350",Col. traseira c/ v eic. em mov.
Cantanhede 2006:12:14 20:00:00 0 1 EM583,,Desp. c/ capotamento
Cantanhede 2006:12:21 13:45:00 0 1 EN234,"25,000",Desp. s/ dispos. retenção
Coimbra 2006:01:13 13:45:00 0 1 R. Principal Vilarinho,,Atropelamento peões
Coimbra 2006:01:17 18:30:00 0 1 EN341,"39,140",Col.lat. c/ veic. em mov.
Coimbra 2006:01:18 15:35:00 0 1 R. Cidade Porteis,,Atropelamento peões
Coimbra 2006:02:05 18:20:00 0 1 A1,"189,100",Desp.c/ col. c/ veic. imob. ou obst.
Coimbra 2006:02:16 07:50:00 0 1 EM537,"10,300",Colisão frontal
Coimbra 2006:02:18 11:04:00 1 0 Av. Fernão Magalhães,,Atropelamento peões
Coimbra 2006:03:02 21:20:00 0 1 A1,"187,400",Desp. c/ dispos. retenção
Coimbra 2006:03:18 20:50:00 1 0 R. Carolina Miccaelis,,Atropelamento peões
Coimbra 2006:04:02 21:10:00 0 1 EN111,"28,250",Atropelamento peões
Coimbra 2006:04:06 12:45:00 0 1 A1,"199,200",Desp. c/ capotamento
Coimbra 2006:04:28 10:05:00 0 1 IP3,"43,500",Col.lat. c/ veic. em mov.
Coimbra 2006:05:09 11:00:00 0 1 R. Brasil,,Atropelamento c/ fuga
Coimbra 2006:06:10 23:15:00 0 1 EN1,"197,500",Col.c/ veic. ou obst. faixa rod.
Coimbra 2006:06:22 15:00:00 0 1 EN1,"198,800",Col.c/ veic. ou obst. faixa rod.
Coimbra 2006:07:13 11:10:00 0 1 R. 1o de Maio,,Atropelamento peões
Coimbra 2006:07:22 00:30:00 2 0 R. Principal,,Despiste simples
Coimbra 2006:08:13 07:10:00 1 0 Ladeira Paula,,Colisão c/ fuga
Coimbra 2006:09:21 08:00:00 0 1 EN1,"178,700",Colisão frontal
Coimbra 2006:09:21 10:16:00 0 1 Av. Gouveia Monteiro,,Desp.c/ col. c/ veic. imob. ou obst.
Coimbra 2006:10:01 21:45:00 0 1 EN336,"48,600",Colisão frontal
Coimbra 2006:10:27 09:00:00 0 1 Estrada Municipal,,Atropelamento peões
Coimbra 2006:11:10 14:05:00 0 1 Av. Emídio Navarro,,Atropelamento peões
Coimbra 2006:11:26 03:00:00 0 1 EM1171,,Despiste simples
Coimbra 2006:12:05 01:40:00 0 1 Av. Aristides Sousa Mendes,,Desp. c/ capotamento
Coimbra 2006:12:05 19:10:00 0 2 EN341,"39,200",Colisão frontal
Condeixa-a-Nova 2006:01:07 04:40:00 0 1 EN342,"32,100",Col.lat. c/ veic. em mov.
Condeixa-a-Nova,2006:03:15 16:00:00,0,1,IC3,"5,000",Colisão frontal
Condeixa-a-Nova,2006:04:12 16:36:00,0,1,EN1,"176,056",Despiste simples
Condeixa-a-Nova,2006:05:17 06:05:00,1,0,EN1,"173,300",Colisão frontal
Condeixa-a-Nova,2006:07:04 11:25:00,0,2,A1,"183,236",Desp. c/ dispos. retenção
Condeixa-a-Nova,2006:10:25 21:00:00,0,1,EN347,"29,700",Despiste simples
Concelho,Datahora,M,FG,,Via,km,Natureza
Condeixa-a-Nova,2006:12:13 11:00:00,0,1,EN347,,"33,700",Col.lat. c/ veic. em mov.
Condeixa-a-Nova,2006:12:20 13:30:00,0,1,EN1,,"169,750",Colisão frontal
Figueira da Foz,2006:01:05 03:10:00,0,1,A14,,"0,600",Despiste simples
Figueira da Foz,2006:03:10 20:00:00,0,1,Estrada Municipal,,,Col. traseira c/ veic. em mov.
Figueira da Foz,2006:04:06 11:00:00,1,0,IC1,,"129,100",Colisão frontal
Figueira da Foz,2006:04:16 12:20:00,1,0,R. Fonte,,,Desp. c/ capotamento
Figueira da Foz,2006:05:02 09:05:00,1,0,EN109,,"127,760",Colisão c/ fuga
Figueira da Foz,2006:07:09 03:15:00,1,2,IC1,,"114,800",Col.lat. c/ veic. em mov.
Figueira da Foz,2006:08:02 05:30:00,4,1,Urbana,,,Desp. c/ capotamento
Figueira da Foz,2006:10:06 13:45:00,0,1,IC1,,"116,400",Desp. c/ capotamento
Figueira da Foz,2006:10:12 08:40:00,0,1,EN109,,"124,000",Col.lat. c/ veic. em mov.
Figueira da Foz,2006:10:13 06:55:00,1,0,EN109,,"100,000",Col. traseira c/ veic. em mov.
Figueira da Foz,2006:10:19 20:20:00,0,1,Estr. Coimbra,,,Col. traseira c/ veic. em mov.
Figueira da Foz,2006:10:24 17:40:00,0,1,R. Alentojeiros,,,Col.lat. c/ veic. em mov.
Figueira da Foz,2006:12:22 17:35:00,0,3,Av. D. João II,,,Col.lat. c/ veic. em mov.
Figueira da Foz,2006:12:24 13:50:00,0,1,R. Lagoa,,,Despiste simples
Lousã,2006:03:16 13:50:00,0,1,EN236,,"5,400",Col. traseira c/ veic. em mov.
Lousã,2006:03:28 18:45:00,0,1,R. Gil Vicente,,,Col.lat. c/ veic. em mov.
Lousã,2006:04:06 20:35:00,0,2,R. Indust. Manuel Carvalho,,,Atropelamento peões
Lousã,2006:09:27 22:00:00,1,0,Av. D. Manuel I,,,Col.lat. c/ veic. em mov.
Mira,2006:03:17 18:00:00,1,0,R. Capela,,,Desp.c/ col. c/ veic. imob. ou obst.
Mira,2006:12:03 17:10:00,0,1,EN109,,,Despiste simples
Miranda do Corvo,2006:04:09 03:20:00,0,1,EN17,,"18,400",Despiste simples
Montemor-o-Velho,2006:01:13 12:00:00,0,1,Estrada Municipal,,,Desp. c/ capotamento
Montemor-o-Velho,2006:03:17 19:10:00,0,1,Estrada Municipal,,,Colisão frontal
Montemor-o-Velho,2006:04:09 12:00:00,1,0,Estrada Municipal,,,Despiste simples
Montemor-o-Velho,2006:04:30 18:05:00,1,0,EN335,,"51,450",Col.lat. c/ veic. em mov.
Montemor-o-Velho,2006:05:01 11:00:00,1,0,EM1077,,,Col.c/ veic. ou obst. faixa rod.
Montemor-o-Velho,2006:05:10 16:05:00,0,1,Estrada Municipal,,,Desp. c/ capotamento
Montemor-o-Velho,2006:05:18 23:05:00,1,2,EN111,,"14,600",Col.lat. c/ veic. em mov.
Montemor-o-Velho,2006:06:15 15:50:00,1,0,EN335,,"49,200",Col.c/ veic. ou obst. faixa rod.
Montemor-o-Velho,2006:09:14 22:15:00,1,0,R. Eira,,,Col.c/ veic. ou obst. faixa rod.
Montemor-o-Velho,2006:12:15 17:20:00,0,1,EN111,,"20,650",Colisão frontal
Montemor-o-Velho,2006:12:23 18:00:00,1,0,Estrada Municipal,,,Desp. c/ capotamento
Montemor-o-Velho,2006:12:24 14:00:00,0,1,R. Santiago,,,Atropelamento peões
Montemor-o-Velho,2006:12:31 15:55:00,0,1,EM573,,,Desp.c/ col. c/ veic. imob. ou obst.
Oliveira do Hospital,2006:02:26 03:45:00,0,2,EN230,,"111,800",Despiste simples
Oliveira do Hospital,2006:03:10 19:00:00,0,1,EN17,,"78,900",Colisão frontal
Oliveira do Hospital,2006:05:21 15:30:00,0,1,EM514,,"1,400",Colisão frontal
Oliveira do Hospital,2006:06:11 17:05:00,1,0,EN17,,"71,000",Colisão frontal
Oliveira do Hospital,2006:09:16 21:35:00,0,1,R. Salgueiro Maia,,,Atropelamento peões
Oliveira do Hospital,2006:10:13 19:30:00,1,0,EN17,,"69,940",Despiste simples
Oliveira do Hospital,2006:10:23 12:35:00,0,1,EN17,,"75,800",Desp.c/ col. c/ veic. imob. ou obst.
Pampilhosa da Serra,2006:07:26 10:45:00,1,0,Estrada Municipal,,,Despiste simples
Pampilhosa da Serra,2006:07:30 04:00:00,0,1,Estrada Municipal,,,Despiste simples
Penacova,2006:02:18 09:20:00,1,1,IC6,,"7,029",Col.lat. c/ veic. em mov.
Penacova,2006:03:18 19:00:00,0,1,IP3,,"63,700",Desp.c/ transpos. disp. ret. lateral
Penacova,2006:06:12 20:30:00,0,1,IP3,,"53,600",Desp.c/ col. c/ veic. imob. ou obst.
Penacova,2006:08:03 17:50:00,0,1,IP3,,"56,400",Col. traseira c/ veic. em mov.
Penacova,2006:10:11 01:45:00,0,1,IP3,,"57,500",Desp. c/ capotamento
Penacova,2006:12:29 17:00:00,0,1,IP3,,"55,920",Atropelamento peões
Penela,2006:02:01 17:50:00,0,3,IC3,,"21,900",Colisão frontal
Penela,2006:05:20 18:35:00,0,1,EM562,,,Col.lat. c/ veic. em mov.
