"",
11. Listagem dos acidentes com mortos e/ou feridos graves,
"",
Concelho Datahora M* FG* Km Via,Natureza
"Amares 2004:02:29 01:50:00 2 1 47,488 EN205",Despiste simples
"Amares 2004:03:17 07:45:00 0 1 44,700 EN205",Col. lat. c/veic. em mov.
"Amares 2004:08:07 08:20:00 1 0 46,850 EN205",Despiste simples
Amares 2004:08:25 20:20:00 0 1 EM,Atropelamento com fuga
"Amares 2004:07:25 05:20:00 0 1 48,250 EN205",Despiste c/capotamento
"Amares 2004:06:11 14:15:00 1 1 51,250 EN205",Atropelamento de peões
"Amares 2004:04:03 13:00:00 0 1 0,001 ER205-5",Atropelamento de peões
Amares 2004:11:27 10:35:00 0 1 Lugar Anjo da Guarda,Desp.c/colisão c/veíc.imob./obst.
"Amares 2004:11:29 15:00:00 0 1 50,050 EN205",Colisão frontal
"Amares 2004:12:24 15:40:00 1 0 44,700 EN205",Atropelamento de peões
Amares 2004:12:23 18:00:00 0 1 R. Cintura/Av. Sto. António,Colisão frontal
"Amares 2004:12:15 16:30:00 0 1 44,800 EN205",Colisão frontal
"Amares 2004:01:28 16:50:00 0 1 52,800 EN308",Colisão frontal
"Barcelos 2004:08:28 22:00:00 1 0 50,900 EN306",Atropelamento de peões
"Barcelos 2004:08:11 11:40:00 0 1 16,400 EN204",Colisão frontal
"Barcelos 2004:08:16 06:45:00 0 1 54,200 A3",Desp. c/transp. disp. ret. lateral
"Barcelos 2004:09:14 14:45:00 0 1 65,970 EN306",Atropelamento de peões
"Barcelos 2004:09:22 19:50:00 0 1 26,400 EN205",Col. lat. c/veic. em mov.
"Barcelos 2004:09:22 17:30:00 0 1 19,700 EN205",Col. lat. c/veic. em mov.
"Barcelos 2004:11:01 13:30:00 0 1 32,900 EN205-2",Despiste simples
Barcelos 2004:11:28 03:00:00 0 1 EM505,Atropelamento de peões
"Barcelos 2004:11:24 18:10:00 0 1 12,779 EN205",Col. lat. c/veic. em mov.
"Barcelos 2004:12:20 15:00:00 1 0 0,000 EM",Despiste simples
"Barcelos 2004:12:18 11:50:00 0 1 10,350 EN308",Col. lat. c/veic. em mov.
"Barcelos 2004:12:21 17:58:00 0 1 32,000 EN204",Colisão frontal
"Barcelos 2004:12:16 18:00:00 0 1 31,200 EN103",Colisão frontal
"Barcelos 2004:12:23 19:35:00 0 1 30,386 EN204",Colisão frontal
Barcelos 2004:12:11 18:30:00 0 1 Lugar Igreja,Colisão frontal
Barcelos 2004:11:12 00:15:00 0 2 Av. Pontes,Colisão frontal
"Barcelos 2004:01:05 15:40:00 0 1 11,800 EN205",Col. lat. c/veic. em mov.
Barcelos 2004:03:16 19:20:00 0 1 EM,Desp.c/colisão c/veíc.imob./obst.
"Barcelos 2004:03:21 02:30:00 0 2 8,300 EN103",Despiste c/capotamento
"Barcelos 2004:03:26 17:15:00 0 1 23,353 EN204",Col. lat. c/veic. em mov.
Barcelos 2004:03:15 21:00:00 0 1 EM,Atropelamento de peões
"Barcelos 2004:03:08 19:15:00 0 1 39,690 EN305",Atropelamento de peões
"Barcelos 2004:04:16 08:10:00 1 0 7,400 EN103",Colisão frontal
"Barcelos 2004:04:27 17:45:00 0 1 111,300 EN204",Despiste c/disp. de retenção
"Barcelos 2004:05:30 06:45:00 0 2 50,500 EN306",Colisão frontal
"Barcelos 2004:05:16 06:00:00 0 1 10,950 EN205",Desp.c/colisão c/veíc.imob./obst.
"Barcelos 2004:05:16 22:30:00 0 1 28,300 EN205",Col. traseira c/veic. em mov.
"Barcelos 2004:06:25 16:30:00 2 0 21,500 EN103",Colisão frontal
"Barcelos 2004:06:24 08:05:00 0 1 13,600 EN103",Col. lat. c/veic. em mov.
Barcelos 2004:07:03 23:00:00 2 0 EM544,Despiste simples
"Barcelos 2004:08:17 18:30:00 2 0 18,250 EN103",Col. lat. c/veic. em mov.
Braga 2004:08:14 21:30:00 1 0 Av. Pe. Júlio Fragata,Atropelamento de peões
Braga 2004:07:31 11:00:00 0 1 R. Cons.. Bento Miguel,Atropelamento de peões
Braga 2004:07:27 22:45:00 0 1 R. Feira/R. S. Martinho,Col. lat. c/veic. em mov.
Braga 2004:07:20 17:00:00 0 1 EN101,Despiste c/capotamento
Braga 2004:07:17 06:20:00 0 1 Av. António Macedo,Despiste c/capotamento
Braga 2004:08:28 22:30:00 0 1 EN205-4,Despiste simples
Braga 2004:08:28 21:00:00 0 1 EM563,Col. lat. c/veic. em mov.
Braga 2004:08:01 02:00:00 0 2 EM,Atropelamento de peões
"Braga 2004:07:05 23:15:00 0 1 12,500 EN205-4",Despiste simples
"Braga 2004:07:14 13:30:00 0 1 9,150 EN205-4",Col. lat. c/veic. em mov.
Braga 2004:07:07 08:45:00 1 1 VAR-FOJO,Col. traseira c/veic. em mov.
Braga 2004:06:10 09:30:00 0 1 EM,Desp.c/colisão c/veíc.imob./obst.
"Braga 2004:06:07 13:15:00 0 1 42,800 EN103",Col. lat. c/veic. em mov.
