Concelho,Datahora,M*,FG*,,Via,km,Natureza
Maia,2008-08-01 13:40,0,1,R CRUZ GUARDEIRAS 351,,Colisão lat. c/outro veíc. mov.
Maia,2008-02-29 14:35,0,2,A4,"9,000",Colisão tras. c/outro veíc. mov.
Maia,2008-09-09 15:50,0,1,A3,"9,825",Colisão tras. c/outro veíc. mov.
Maia,2008-11-14 16:25,0,1,R 5 OUTUBRO,,Colisão tras. c/outro veíc. mov.
"",,,,R AGOSTINHO SILVA ROCHA,,
Maia,2008-02-16 05:50,0,1,,,Colisão frontal
"",,,,791,,
Maia,2008-04-19 16:25,1,0,A41,"5,400",Despiste c/disp. retenção
Maia,2008-10-22 21:10,0,1,R LUIS SILVA NEVES 1206,,Despiste simples
Maia,2008-08-30 14:00,0,1,AV LIDADOR MAIA,,Despiste simples
Maia,2008-03-03 05:31,1,0,A4,"10,505",Despiste c/transp. disp. ret. lateral
Maia,2008-04-19 08:10,0,1,A3,"10,350",Despiste c/ capotamento
"",,,,R MANUEL GONCALVES,,
Maia,2008-07-15 11:15,0,1,,,Colisão frontal
"",,,,LAGE 276,,
M. de Canaveses,2008-11-24 09:30,1,0,EN320,"32,420",Atropelamento de peões
M. de Canaveses,2008-09-09 15:30,0,1,R MANUEL RAMIRO SOARES,,Atropelamento de peões
M. de Canaveses,2008-12-17 06:25,0,1,LUGAR DOS PINHEIROS,,Atropelamento de peões
M. de Canaveses,2008-12-24 23:30,0,1,R PADRE DIAS DA SILVA,,Atropelamento de peões
M. de Canaveses,2008-06-07 19:00,0,2,R EIRO 348,,Despiste s/ disp. retenção
M. de Canaveses,2008-06-04 04:00,0,1,Estrada Municipal,,Colisão frontal
M. de Canaveses,2008-06-29 18:15,1,0,EN108,"39,810",Despiste c/ capotamento
M. de Canaveses,2008-04-05 20:20,0,1,R OUTEIRO CONSTANCE,,Despiste simples
M. de Canaveses,2008-07-26 21:40,1,0,R CALMITA,,Despiste simples
M. de Canaveses,2008-02-18 10:00,0,1,EN101-5,"8,600",Colisão lat. c/outro veíc. mov.
Matosinhos,2008-05-23 16:50,1,0,AV MARGINAL 1878,,Colisão com outras situações
Matosinhos,2008-07-23 15:30,0,2,R DE CIDRES 1527,,Colisão com outras situações
Matosinhos,2008-02-12 04:45,0,2,A28,"6,800",Colisão com outras situações
Matosinhos,2008-04-25 03:35,1,1,Outra Via,"3,000",Despiste c/transp. disp. ret. lateral
Matosinhos,2008-04-29 21:40,0,1,AV COMERCIO DE LEIXOES,,Colisão frontal
Matosinhos,2008-12-30 19:20,1,0,VRI,"1,400",Colisão tras. c/outro veíc. mov.
Matosinhos,2008-04-25 17:15,1,0,A41,"0,100",Colisão tras. c/outro veíc. mov.
Matosinhos,2008-08-09 23:30,1,0,VRI,,Colisão lat. c/outro veíc. mov.
Matosinhos,2008-07-01 10:15,0,1,R PONTE DA PEDRA,,Colisão lat. c/outro veíc. mov.
Matosinhos,2008-07-15 18:45,0,1,R SOUSA AROSO 333,,Colisão lat. c/outro veíc. mov.
"",,,,R MONTE VALE C/ R FREI,,
Matosinhos,2008-06-01 17:25,0,1,,,Colisão lat. c/outro veíc. mov.
"",,,,CAMPOS 372,,
Matosinhos,2008-01-31 09:20,1,0,R BRITO CAPOLO 234,,Colisão lat. c/outro veíc. mov.
Matosinhos,2008-05-03 05:00,0,1,A28,"13,480",Colisão lat. c/outro veíc. mov.
Matosinhos,2008-10-30 08:00,0,1,R SANTOS DIAS 1208,,Colisão c/veic./obst. f. rodagem
Matosinhos,2008-10-19 19:45,0,3,A28,"7,800",Colisão choque em cadeia
Matosinhos,2008-04-24 15:15,0,1,A28,"4,800",Colisão choque em cadeia
Matosinhos,2008-11-21 18:30,0,1,R SILVA BRINCO 715,,Atropelamento de peões
Matosinhos,2008-06-17 11:40,0,1,R AUGUSTA GOMES 313,,Atropelamento de peões
Matosinhos,2008-10-07 11:00,0,1,R GONDIVAI,,Atropelamento de peões
Matosinhos,2008-09-08 17:05,1,0,AV LIBERDADE,,Atropelamento de peões
Matosinhos,2008-10-30 17:00,0,1,R OSCAR SILVA 2308,,Atropelamento de peões
Matosinhos,2008-08-19 17:40,0,1,R COR.  HELDER RIBEIRO,,Atropelamento de peões
Matosinhos,2008-08-26 16:00,0,1,R 1 MAIO 226,,Atropelamento de peões
Matosinhos,2008-04-09 10:30,0,1,AV DR MAN. TEIXEIRA 302,,Atropelamento de peões
"",,,,R FONTE VELHA C/ TRAS,,
Matosinhos,2008-05-31 10:10,1,0,,,Atropelamento de peões
"",,,,FONTE VELHA 979,,
Matosinhos,2008-05-14 18:30,0,1,R GODINHO FARIA,,Atropelamento de peões
Matosinhos,2008-04-02 08:20,0,1,R SAO GENS 3727,,Atropelamento de peões
Matosinhos,2008-04-02 15:00,0,1,AV SENHORA HORA 459,,Atropelamento de peões
Matosinhos,2008-12-13 07:10,0,1,A28,"7,500",Despiste c/disp. retenção
Matosinhos,2008-03-02 20:20,1,0,EN107,"6,700",Atropelamento de peões
Matosinhos,2008-01-03 07:20,0,1,R SILVA BRINCO 420,,Atropelamento de peões
P. de Ferreira,2008-03-13 12:50,0,1,R DA CORREDOURA 113,,Atropelamento de peões
P. de Ferreira,2008-05-26 18:40,0,1,R NOSSA SRA ROSARIO 800,,Atropelamento de peões
"",,,,R DONA MERCADES DE,,
P. de Ferreira,2008-12-04 19:15,0,1,,,Atropelamento de peões
"",,,,BARROS,,
P. de Ferreira,2008-07-28 19:10,0,1,R FONTAINHAS,,Colisão lat. c/outro veíc. mov.
P. de Ferreira,2008-04-26 15:10,0,1,AV DA LIBERDADE,,Colisão tras. c/outro veíc. mov.
P. de Ferreira,2008-09-28 19:45,1,0,A42,"6,404",Despiste c/disp. retenção
P. de Ferreira,2008-11-15 22:00,1,0,R VALINHOS,,Despiste c/col. c/veíc. imob./obst.
P. de Ferreira,2008-04-13 01:15,0,1,A42,"0,600",Despiste c/ capotamento
P. de Ferreira,2008-07-12 19:25,1,0,R NOSSA SRA ROSARIO,,Despiste simples
P. de Ferreira,2008-09-07 23:30,0,1,AV MARTINS COSTA 238,,Colisão com fuga
P. de Ferreira,2008-11-05 16:00,0,1,R MOSTEIRO FERREIRA,,Colisão com fuga
P. de Ferreira,2008-09-01 23:20,1,0,AV ALDEIA NOVA,,Colisão tras. c/outro veíc. mov.
Paredes,2008-01-23 21:00,1,1,EN15,"13,500",Atropelamento de peões
Paredes,2008-02-25 08:05,0,1,EN319-3,"0,600",Atropelamento de peões
Paredes,2008-03-27 16:30,0,1,EN209,"24,780",Atropelamento de peões
"",,,,AV D FAUSTINO MOREIRA,,
Paredes,2008-12-05 14:10,1,0,,,Atropelamento de peões
"",,,,848,,
Paredes,2008-06-13 23:20,0,2,EN319,"20,800",Colisão c/veic./obst. f. rodagem
Paredes,2008-01-09 18:55,0,1,R PROF MEIRELES,,Colisão lat. c/outro veíc. mov.
Paredes,2008-04-05 15:30,0,1,PÇ RANHA VANDOMA,,Colisão lat. c/outro veíc. mov.
Paredes,2008-08-13 18:25,0,1,EN15,"15,350",Colisão frontal
Paredes,2008-01-21 19:30,0,1,AV NOVAL VILELA,,Colisão frontal
Paredes,2008-04-14 01:00,0,1,R DA CAMPA,,Colisão frontal
"",,,,R GOMES AMORIM/R,,
Paredes,2008-02-10 18:10,0,1,,,Colisão com outras situações
"",,,,PASSAGEM,,
Penafiel,2008-12-18 10:50,0,1,EN106,"31,700",Atropelamento de peões
Penafiel,2008-12-12 16:00,0,1,EN106,"32,100",Atropelamento de peões
Penafiel,2008-02-03 02:10,0,1,EN106,"34,880",Despiste simples
Penafiel,2008-09-22 11:20,0,2,EN211-1,"1,042",Colisão frontal
Penafiel,2008-02-05 18:50,1,1,EN106,"29,100",Colisão frontal
Penafiel,2008-10-13 21:10,0,1,R SAUDADE 243,,Atropelamento de peões
Penafiel,2008-10-20 10:15,0,1,VAR-CAVALU,,Colisão lat. c/outro veíc. mov.
Penafiel,2008-04-13 20:10,1,0,LUG DE ESPINHAL,,Colisão lat. c/outro veíc. mov.
Penafiel,2008-12-24 23:35,1,1,EN106,"33,750",Colisão lat. c/outro veíc. mov.
Penafiel,2008-10-23 09:41,0,1,AV EGAS MONIZ,,Atropelamento de peões
Penafiel,2008-05-15 13:00,0,1,EN320,"23,400",Colisão frontal
Porto,2008-10-28 16:50,0,1,R SA BANDEIRA,,Atropelamento de peões
Porto,2008-11-02 01:36,0,1,A43,"1,500",Despiste c/disp. retenção
"",,,,PC MOUTINHO DE,,
Porto,2008-06-28 18:10,0,1,,,Atropelamento de peões
"",,,,ALBUQUERQUE,,
Porto,2008-06-06 08:50,0,2,R AF. ALBUQUERQUE 28,,Atropelamento de peões
"",,,,AV MONTEVIDEU C/ R,,
Porto,2008-03-10 10:15,0,1,,,Atropelamento de peões
"",,,,FUNCHAL,,
Porto,2008-06-25 14:45,0,1,AV BOAVISTA 272,,Atropelamento de peões
Porto,2008-02-23 20:20,1,0,VCI,,,Atropelamento de peões
Porto,2008-07-16 13:00,0,1,Outra Via,,,Atropelamento de peões
Porto,2008-02-11 17:50,0,1,A43,,"1,850",Colisão lat. c/outro veíc. mov.
Porto,2008-09-19 09:11,0,1,A28,,"0,100",Colisão lat. c/outro veíc. mov.
"",,,,ESTRADA ESTERIOR DA,,,
Porto,2008-03-16 04:40,1,1,CIRCUNVALACAO COM,,,Colisão lat. c/outro veíc. mov.
"",,,,ACESSO A VIA NORTE,,,
"",,,,R MOCIDADE DA ARRABIDA,,,
Porto,2008-03-25 17:10,0,1,,,,Colisão lat. c/outro veíc. mov.
"",,,,6,,,
Porto,2008-08-11 18:10,0,1,R ESCOLAS,,,Colisão lat. c/outro veíc. mov.
Porto,2008-10-26 21:25,0,1,AV BOAVISTA 1044,,,Colisão lat. c/outro veíc. mov.
"",,,,R CASTELO C/ R DE,,,
Porto,2008-03-13 18:25,1,0,,,,Colisão tras. c/outro veíc. mov.
"",,,,FRANCOS,,,
Porto,2008-03-13 17:25,0,1,R DO OURO,,,Colisão frontal
"",,,,AV MONTEVIDEU C/ PC,,,
Porto,2008-04-26 16:05,0,2,,,,Colisão frontal
"",,,,GONCALVES ZARCO,,,
Porto,2008-06-15 07:20,0,1,A1,,"303,000",Desp. c/col. c/veíc. imobil./obst.
"",,,,PC EXERCITO LIBERTADOR,,,
Porto,2008-10-27 06:45,1,2,,,,Desp. c/col. c/veíc. imobil./obst.
"",,,,176,,,
Porto,2008-07-03 20:35,0,1,R DO OURO 272,,,Despiste simples
"",,,,R AMISAL CUNHA C LARGO,,,
Porto,2008-08-09 18:25,1,0,,,,Colisão com outras situações
"",,,,PRIORADO,,,
Porto,2008-05-08 08:15,0,1,EN12,,,Despiste s/ disp. retenção
"",,,,R DR MANUEL PEREIRA DA,,,
Porto,2008-04-02 23:03,0,1,,,,Despiste s/ disp. retenção
"",,,,SILVA 344,,,
Porto,2008-09-20 18:55,0,1,A20,,"9,400",Despiste c/disp. retenção
Porto,2008-12-07 12:16,0,1,R AUGUSTO ROSA,,,Atropelamento de peões
Porto,2008-12-27 18:30,0,1,AV BOAVISTA 197,,,Atropelamento de peões
Porto,2008-07-04 12:55,0,1,R ANTERO QUENTAL,,,Atropelamento de peões
Porto,2008-09-16 13:30,0,1,AV BOAVISTA 1750,,,Atropelamento de peões
Porto,2008-03-15 15:50,0,1,PÇ DAS FLORES,,,Atropelamento de peões
Porto,2008-05-11 19:02,0,1,PC DAS FLORES,,,Atropelamento de peões
Porto,2008-04-13 01:35,0,1,R CAMPOS ALEGRE,,,Atropelamento de peões
Porto,2008-04-24 10:20,0,1,AV BOLANA 193,,,Atropelamento de peões
Porto,2008-01-02 18:05,0,1,R MARC SALDANHA 303,,,Atropelamento de peões
Porto,2008-04-26 22:18,0,1,A20,,"9,400",Atropelamento de peões
Porto,2008-01-13 18:50,0,1,EN12,,"8,500",Atropelamento de peões
"",,,,EST INTERIOR,,,
Porto,2008-09-12 13:05,0,1,,,,Atropelamento de peões
"",,,,CIRCUNVALACAO,,,
"",,,,R GOMES AMORIM C/ R DA,,,
P. de Varzim,2008-03-03 09:50,0,1,,,,Colisão com outras situações
"",,,,GUARDIA 1,,,
P. de Varzim,2008-01-23 11:15,0,1,R GOMES ASSUNÇÃO,,,Atropelamento de peões
P. de Varzim,2008-02-23 14:45,0,1,AV MAR 438,,,Atropelamento de peões
P. de Varzim,2008-03-18 08:45,0,1,R Pe.  AFONSO SOARES 272,,,Atropelamento de peões
P. de Varzim,2008-05-09 14:10,0,1,R GOMES AMORIM 2,,,Atropelamento de peões
P. de Varzim,2008-03-19 11:20,0,2,VIA GEN. HUMB. DELGADO 9,,,Atropelamento de peões
"",,,,AV STA GRACA C/ R CASA,,,
P. de Varzim,2008-12-22 19:15,0,1,,,,Atropelamento de peões
"",,,,PEREIRA DO RIO,,,
P. de Varzim,2008-08-22 13:30,0,1,ACESSO A28 ARGIVAI,,,Atropelamento de peões
P. de Varzim,2008-08-10 21:00,0,2,A28,,"38,000",Colisão choque em cadeia
P. de Varzim,2008-09-28 00:45,0,1,EN206,,"9,150",Colisão lat. c/outro veíc. mov.
"",,,,ROT TELECOM R GOMES,,,
P. de Varzim,2008-05-18 22:15,0,1,,,,Colisão lat. c/outro veíc. mov.
"",,,,AMORIM 2,,,
P. de Varzim,2008-08-13 02:40,0,1,R BONITOS AMORIM 54,,,Colisão lat. c/outro veíc. mov.
P. de Varzim,2008-08-02 11:20,1,1,ACC-A28,,,Colisão lat. c/outro veíc. mov.
P. de Varzim,2008-07-31 14:00,0,1,R CIDADE DE POVOA 479,,,Colisão tras. c/outro veíc. mov.
P. de Varzim,2008-07-09 09:00,1,0,EN13,,"31,975",Colisão frontal
P. de Varzim,2008-12-13 16:40,0,1,EN13,,"34,000",Desp. c/col. c/veíc. imobil./obst.
P. de Varzim,2008-12-25 22:45,0,1,EN206,,"8,000",Despiste simples
P. de Varzim,2008-06-29 15:15,0,1,A28,,"34,000",Despiste simples
Santo Tirso,2008-01-17 16:30,0,1,EN105,,"25,920",Atropelamento de peões
Santo Tirso,2008-09-29 18:15,0,1,EN105,,"25,800",Colisão c/veic./obst. f. rodagem
Santo Tirso,2008-11-16 21:55,1,0,R FERNANDO PIRES LIMA,,,Colisão lat. c/outro veíc. mov.
Santo Tirso,2008-12-18 13:45,0,1,R MAJOR DINIS,,,Colisão tras. c/outro veíc. mov.
Santo Tirso,2008-05-22 20:00,0,1,EN105,,"19,700",Colisão frontal
Santo Tirso,2008-03-07 23:05,0,1,R S BENTO BATALHA 88,,,Colisão frontal
Santo Tirso,2008-10-02 17:40,0,1,R FREIXIEIRO,,,Despiste simples
Santo Tirso,2008-08-01 07:30,0,1,R RECONTRO DO OUTEIRO,,,Colisão frontal
Santo Tirso,2008-12-29 20:20,0,2,R FONTAINHAS,,,Colisão frontal
Santo Tirso,2008-03-19 15:50,0,2,VAR-EN105,,,Colisão frontal
Santo Tirso,2008-04-18 23:17,1,0,A3,,"23,200",Despiste simples
"",,,,R DR OLIVEIRA SALAZAR C/,,,
Santo Tirso,2008-03-22 14:50,0,1,ARRUAMENTO ACESSO EST,,,Despiste simples
"",,,,FERROVIARIA,,,
Santo Tirso,2008-10-25 20:00,0,1,R DAS FONTAINHAS 10,,,Despiste simples
"",,,,ZONA INDUSTRIAL DA,,,
Santo Tirso,2008-04-01 13:10,0,1,,,,Colisão frontal
"",,,,LOUPA,,,
Trofa,2008-04-23 18:00,0,1,R DE ENTRE LINHAS 50,,,Atropelamento de peões
Trofa,2008-08-20 18:45,0,1,R HORIZONTE,,,Atropelamento de peões
Trofa,2008-01-27 14:10,1,0,R CRABRITO 113,,,Despiste simples
Trofa,2008-02-04 22:35,0,1,R LIBERDADE 627,,,Colisão frontal
Trofa,2008-10-17 19:15,0,1,R NOSSA SRA LURDES 602,,,Colisão frontal
"",,,,R ABADE INACIO PIMENTEL,,,
Trofa,2008-08-17 11:50,1,0,,,,Colisão lat. c/outro veíc. mov.
"",,,,135,,,
Valongo,2008-08-10 15:25,0,1,R DR MARIO CAL BRANDAO,,,Atropelamento de peões
Valongo,2008-09-30 12:15,1,0,A4,,"11,970",Atropelamento de peões
Valongo,2008-05-19 15:30,0,1,A4,,"22,030",Despiste simples
Valongo,2008-08-21 02:10,1,1,EN15,,"11,238",Despiste simples
Valongo,2008-06-30 03:52,1,2,A4,,"17,220",Desp. c/transp. disp. ret. lateral
Valongo,2008-11-15 01:40,0,1,A4,,"12,450",Colisão c/veic./obst. f. rodagem
Valongo,2008-04-01 11:00,3,1,A41,,"15,600",Desp. c/col. c/veíc. imobil./obst.
Valongo,2008-10-04 15:00,0,1,EN105,,"9,800",Desp. c/col. c/veíc. imobil./obst.
Valongo,2008-10-14 21:00,1,0,A41,,"14,325",Colisão frontal
Valongo,2008-03-16 07:20,1,0,EN209,,"17,650",Colisão frontal
Valongo,2008-01-19 06:00,1,0,A4,,"12,244",Colisão tras. c/outro veíc. mov.
Valongo,2008-04-06 00:10,0,1,AV 5 OUTUBRO,,,Despiste c/ capotamento
Vila do Conde,2008-03-21 12:12,0,1,AV PORTAS FRONHAS 264,,,Colisão lat. c/outro veíc. mov.
Vila do Conde,2008-09-29 18:09,1,0,R PINHEIRO 190,,,Colisão lat. c/outro veíc. mov.
"",,,,AV GENERAL HUMBERTO,,,
Vila do Conde,2008-08-13 12:10,0,1,,,,Colisão lat. c/outro veíc. mov.
"",,,,DELGADO 7,,,
Vila do Conde,2008-12-08 13:10,0,1,R 5 OUTUBRO 1813,,,Colisão lat. c/outro veíc. mov.
Vila do Conde,2008-04-20 03:00,0,1,R DA MATA 121,,,Colisão tras. c/outro veíc. mov.
Vila do Conde,2008-10-18 14:15,0,1,EN104,,"2,600",Colisão frontal
Vila do Conde,2008-07-20 07:45,0,1,EN13,,"14,900",Colisão frontal
Vila do Conde,2008-11-25 18:20,0,1,EN13,,"11,800",Colisão frontal
Vila do Conde,2008-01-28 18:00,0,2,R LAPA 1186,,Colisão frontal
Vila do Conde,2008-02-08 01:21,1,0,R 6 - ZONA INDUSTRIAL 8,,Desp. c/col. c/veíc. imobil./obst.
Vila do Conde,2008-11-11 23:15,2,0,EN309,"2,250",Despiste c/ capotamento
Vila do Conde,2008-02-23 18:30,1,0,EN104,"7,100",Despiste simples
Vila do Conde,2008-04-07 18:30,0,1,EN104,"6,050",Despiste simples
Vila do Conde,2008-04-28 14:40,0,2,R 5 OUTUBRO,,Colisão com outras situações
Vila do Conde,2008-02-06 18:00,0,1,R S CRISTOVÃO 1027,,Colisão lat. c/outro veíc. mov.
Vila do Conde,2008-05-13 01:10,1,0,R GANDARA 705,,Colisão lat. c/outro veíc. mov.
Vila do Conde,2008-12-05 18:30,0,1,R S CRISTOVAO 68,,Colisão choque em cadeia
"",,,,TV R DE CASTELOES SUL,,
Vila do Conde,2008-12-18 21:50,1,0,,,Atropelamento de peões
"",,,,502,,
Vila do Conde,2008-08-15 12:30,0,1,R 5 OUTUBRO 2001,,Colisão com outras situações
