"",,
11. Listagem dos acidentes com mortos e/ou feridos graves,,
"",,
Concelho Datahora M* FG* Via,km,Natureza
Alcobaca 2006:01:01 20:35:00 0 2 R. Principal,,Desp. c/ capotamento
Alcobaca 2006:01:03 03:00:00 0 1 R Cinzeira,,Desp.c/col.c/ veíc.imob.ou obst.
Alcobaca 2006:01:30 15:10:00 0 1 Estrada Florestal,,Despiste simples
Alcobaca 2006:02:07 14:20:00 0 1 EN1,"97,640",Col.lat.c/outro veíc.em mov.
Alcobaca 2006:02:15 10:45:00 0 1 IC2,"94,200",Col.tras.c/outro veíc.em mov.
Alcobaca 2006:02:24 21:30:00 0 1 R Estr Pataias,,Desp.c/col.c/veíc.imobil.ou obst.
Alcobaca 2006:03:12 11:00:00 0 2 EN1,"92,995",Despiste simples
Alcobaca 2006:03:21 12:35:00 1 0 A8,"115,300",Desp.c/transp.do disp.de ret.lat.
Alcobaca 2006:05:03 21:30:00 0 1 EN8-6,"17,150",Col.lat.c/outro veíc.em mov.
Alcobaca 2006:05:06 08:50:00 0 1 EM1335,,Despiste simples
Alcobaca 2006:05:14 21:45:00 0 2 R Sto António,,Desp.c/col.c/veíc.imobil.ou obst.
Alcobaca 2006:05:20 01:00:00 0 2 R 4 Julho,,Col.lat.c/outro veíc.em mov.
Alcobaca 2006:06:03 15:30:00 0 1 Estrada Municipal,,Col.lat.c/outro veíc.em mov.
Alcobaca 2006:06:04 19:00:00 0 1 EM1326,,Despiste simples
Alcobaca 2006:06:25 18:30:00 0 2 Estrada Municipal,,Colisão com outras situações
Alcobaca 2006:07:08 19:15:00 0 1 R Escola,,Despiste simples
Alcobaca 2006:07:11 21:30:00 0 2 EM588,,Colisão frontal
Alcobaca 2006:07:15 20:30:00 0 1 EM1338,,Col.lat.c/outro veíc.em mov.
Alcobaca 2006:07:24 09:00:00 0 1 EN8,"112,000",Col.lat.c/outro veíc.em mov.
Alcobaca 2006:07:28 18:30:00 0 1 EM1430,,Col.lat.c/outro veíc.em mov.
Alcobaca 2006:08:04 16:00:00 1 0 EN1,"85,100",Desp.c/col.c/veíc.imobil.ou obst.
Alcobaca 2006:09:01 18:30:00 1 0 Av. N. Sra. Vitória,,Atrop.de peões
Alcobaca 2006:09:09 15:00:00 0 1 Ladeira do Goto,,Desp.s/disposi.de ret.
Alcobaca 2006:09:25 07:50:00 0 1 EM558,,Desp.c/col.c/veíc.imobil.ou obst.
Alcobaca 2006:09:26 20:00:00 0 1 EN1,"83,300",Col.lat.c/outro veíc.em mov.
Alcobaca 2006:10:02 08:30:00 0 1 EM1318,,Atrop.de peões
Alcobaca 2006:10:04 09:30:00 0 1 EM1318,,Desp.c/transp.do disp.de ret.lat.
Alcobaca 2006:11:12 19:10:00 1 0 R Filarmónica,,Atrop.de peões
Alcobaca 2006:11:24 17:35:00 0 1 R. Manuel silva Carolino,,Atrop.de peões
Alcobaca 2006:12:05 19:15:00 0 1 Pç. 25 Abril,,Col.lat.c/outro veíc.em mov.
Alcobaca 2006:12:06 12:30:00 0 1 R. Sta Marta,,Colisão com outras situações
Alcobaca 2006:12:22 00:30:00 0 1 Cabeço de Deus,,Desp. c/ capotamento
Alcobaca 2006:12:24 18:50:00 1 0 Estr. Pisões,,Atrop.de peões
Alvaiazere 2006:04:04 13:25:00 0 1 R Conselheiro furtado Santos,,Col.lat.c/outro veíc.em mov.
Alvaiazere 2006:04:29 20:10:00 0 6 EN110,"75,400",Colisão frontal
Alvaiazere 2006:08:23 16:00:00 0 1 EN110,"75,070",Col.lat.c/outro veíc.em mov.
Ansião 2006:03:15 18:00:00 0 1 R Escola,,Col.lat.c/outro veíc.em mov.
Ansião 2006:05:11 16:30:00 0 1 EM1087,,Despiste simples
Ansião 2006:05:22 12:20:00 0 1 EN348,"41,890",Colisão com outras situações
Ansião 2006:08:22 11:00:00 0 1 Portela,,Despiste simples
Ansião 2006:08:31 18:25:00 0 1 R. Vila,,Atrop.de peões
Ansião 2006:12:07 04:20:00 1 0 IC8,"70,500",Colisão frontal
Batalha 2006:04:06 03:20:00 0 1 EM545,,Desp.c/col.c/veíc.imobil.ou obst.
Batalha 2006:09:05 20:30:00 0 1 EN356-2,,Col.lat.c/outro veíc.em mov.
Batalha 2006:09:20 20:00:00 1 0 Estr. Casal Relvas,,Col.c/veic.ou obst.na fx.de rod.
Batalha 2006:09:27 13:30:00 0 1 R. 1 Zona Industrial,,Colisão frontal
Batalha 2006:12:17 16:20:00 0 1 EN356,"14,600",Desp. c/dispositivo de retenção
Bombarral 2006:04:20 07:30:00 0 2 A8,"57,800",Desp.c/transp.do disp.de ret.lat.
Bombarral 2006:06:11 07:50:00 0 3 A8,"65,900",Desp. c/ capotamento
Bombarral 2006:06:14 08:15:00 0 1 EN8,"67,000",Col.lat.c/outro veíc.em mov.
Bombarral 2006:06:21 04:30:00 0 1 EM569-1,"0,010",Desp.s/disposi.de ret.
Bombarral 2006:07:16 11:30:00 0 3 EN361,"10,300",Colisão frontal
Bombarral 2006:11:03 20:45:00 1 0 EM584,,Col.c/veic.ou obst.na fx.de rod.
Bombarral 2006:11:15 14:45:00 0 1 A8,"68,700",Desp. c/ capotamento
Caldas da Rainha 2006:01:14 17:10:00 0 1 EM567,,Colisão frontal
"",,,,,,
"",,,,,,
Concelho,Datahora,M*,FG*,Via,km,Natureza
Caldas da Rainha,2006:02:17 19:10:00,0,1,Av. Eng Luís Paiva Sousa,,Atrop.de peões
Caldas da Rainha,2006:02:18 17:00:00,0,1,R. Bela Vista,,Colisão frontal
Caldas da Rainha,2006:03:01 16:35:00,0,1,R. Funchal,,Atrop.de peões
Caldas da Rainha,2006:03:07 14:45:00,0,1,EM565,,Despiste simples
Caldas da Rainha,2006:05:07 14:55:00,1,0,EN361,"29,100",Desp. c/ capotamento
Caldas da Rainha,2006:05:10 15:50:00,0,1,R. Dr Artur Figueiroa Rego,,Col.lat.c/outro veíc.em mov.
Caldas da Rainha,2006:06:09 13:45:00,1,0,R. Diario Notícias,,Col.c/veic.ou obst.na fx.de rod.
Caldas da Rainha,2006:08:08 07:35:00,0,1,R. Casal Semão,,Col.tras.c/outro veíc.em mov.
Caldas da Rainha,2006:08:09 23:30:00,0,1,Estrada Municipal,,Desp. c/ capotamento
Caldas da Rainha,2006:08:12 10:50:00,0,1,R. Palhaguense,,Col.lat.c/outro veíc.em mov.
Caldas da Rainha,2006:08:27 01:10:00,0,1,R. Sta. Maria,,Desp.c/col.c/veíc.imobil.ou obst.
Caldas da Rainha,2006:09:22 22:00:00,0,1,EN360,"25,000",Desp.s/disposi.de ret.
Caldas da Rainha,2006:10:04 20:30:00,0,1,R. Pedro Nunes,,Colisão frontal
Caldas da Rainha,2006:11:05 00:25:00,1,0,EM567,,Desp. c/ capotamento
Caldas da Rainha,2006:11:16 10:40:00,0,1,R. Gen. Humberto Delgado,,Atrop.de peões
Caldas da Rainha,2006:11:17 11:45:00,0,2,EN360,"15,600",Col.lat.c/outro veíc.em mov.
Caldas da Rainha,2006:02:01 13:30:00,0,1,R.  Almirante Gago Coutinho,,Atrop.de peões
Caldas da Rainha,2006:11:23 17:55:00,0,1,R. Principal,,Atrop.de peões
Caldas da Rainha,2006:12:21 21:20:00,0,1,A8,"87,750",Atropelamento de animais
Caldas da Rainha,2006:12:23 17:10:00,0,1,R. Caçajos,,Col.lat.c/outro veíc.em mov.
Castanheira de Pera,2006:03:19 07:15:00,1,3,EN236-1,"5,800",Desp.c/col.c/veíc.imobil.ou obst.
Figueiró dos Vinhos,2006:02:11 13:05:00,0,1,EM517,,Despiste simples
Figueiró dos Vinhos,2006:10:21 15:15:00,1,0,IC8,"80,500",Colisão frontal
Figueiró dos Vinhos,2006:12:04 12:10:00,1,0,IC8,"75,700",Atrop.de peões
Leiria,2006:01:01 03:10:00,1,0,R. Principal,,Atrop.de peões
Leiria,2006:01:01 04:45:00,0,6,EN242,"1,500",Colisão frontal
Leiria,2006:01:07 22:15:00,0,1,R. Principal,,Despiste simples
Leiria,2006:01:10 15:30:00,1,2,A1,"132,800",Desp.c/transp.do disp.de ret.lat.
Leiria,2006:01:12 14:10:00,0,1,EN357,"6,600",Col.lat.c/outro veíc.em mov.
Leiria,2006:01:13 22:25:00,0,2,EN242,"1,400",Col.lat.c/outro veíc.em mov.
Leiria,2006:01:21 09:55:00,0,1,EN113,"3,100",Col.c/veic.ou obst.na fx.de rod.
Leiria,2006:01:24 21:30:00,1,0,Estrada Municipal,,Colisão com fuga
Leiria,2006:06:11 06:00:00,1,1,EM1038,,Despiste simples
Leiria,2006:01:27 08:00:00,1,0,A1,"133,900",Desp. c/ capotamento
Leiria,2006:01:28 00:45:00,0,1,EN356-1,"10,800",Desp.s/disposi.de ret.
Leiria,2006:02:03 20:15:00,0,1,R. Central,,Colisão com fuga
Leiria,2006:02:05 15:00:00,0,2,IC2,"118,800",Desp.c/col.c/veíc.imobil.ou obst.
Leiria,2006:02:13 17:15:00,0,1,Estrada Florestal,,Despiste simples
Leiria,2006:02:13 19:10:00,0,1,EN1,"131,550",Colisão frontal
Leiria,2006:03:07 23:20:00,1,0,EN109-9,"2,890",Desp.c/col.c/veíc.imobil.ou obst.
Leiria,2006:03:15 13:15:00,0,1,EN350,"16,900",Desp.s/disposi.de ret.
Leiria,2006:03:16 08:20:00,0,1,A8,"124,300",Desp. c/ capotamento
Leiria,2006:03:18 17:30:00,1,0,Outra Via,,Colisão com outras situações
Leiria,2006:03:28 22:00:00,0,1,A1,"136,750",Desp. c/ capotamento
Leiria,2006:03:29 01:40:00,0,1,EM531,"0,900",Desp.c/col.c/veíc.imobil.ou obst.
Leiria,2006:03:31 06:55:00,1,0,EN242,"1,600",Col.lat.c/outro veíc.em mov.
Leiria,2006:04:07 14:20:00,0,1,EN242,"3,100",Colisão frontal
Leiria,2006:04:21 13:55:00,0,1,EN109,"164,330",Col.c/veic.ou obst.na fx.de rod.
Leiria,2006:05:02 15:50:00,0,1,EN109,"159,800",Colisão frontal
Leiria,2006:05:08 19:50:00,0,1,R. Outeiro,,Despiste simples
Leiria,2006:05:15 22:20:00,0,1,R. Braçal,,Despiste simples
Leiria,2006:05:18 20:00:00,0,1,R. Principal,,Atrop.de peões
Leiria,2006:05:27 19:15:00,1,0,EN109,,Despiste simples
Leiria,2006:06:04 20:35:00,0,1,EN113,"18,650",Colisão frontal
"",,,,,,
"",,,,,,
Concelho,Datahora,M*,FG*,Via,km,Natureza
Leiria,2006:06:21 03:00:00,0,1,R. N. Sra. Amparo,,Despiste simples
Leiria,2006:06:24 10:20:00,1,1,EN242,"4,400",Colisão frontal
Leiria,2006:06:26 19:00:00,0,1,Estr. Marinha Grande,,Col.lat.c/outro veíc.em mov.
Leiria,2006:07:20 21:00:00,0,1,EN349,"9,500",Desp.s/disposi.de ret.
Leiria,2006:08:03 03:00:00,1,0,IC2,"116,844",Col.tras.c/outro veíc.em mov.
Leiria,2006:08:04 11:15:00,0,1,EN356-1,"4,850",Colisão frontal
Leiria,2006:08:06 14:20:00,0,1,EN113,"15,000",Desp. c/ capotamento
Leiria,2006:08:06 15:10:00,1,1,EM532,"1,800",Desp.c/col.c/veíc.imobil.ou obst.
Leiria,2006:08:15 05:00:00,0,1,EN109,"153,800",Col.lat.c/outro veíc.em mov.
Leiria,2006:08:16 14:40:00,0,2,EN1,"136,300",Col.tras.c/outro veíc.em mov.
Leiria,2006:08:16 15:30:00,0,1,EN109,"154,400",Col.lat.c/outro veíc.em mov.
Leiria,2006:08:17 22:27:00,0,1,Lg. Santiago,,Despiste simples
Leiria,2006:08:20 12:40:00,0,1,A1,"120,342",Col.tras.c/outro veíc.em mov.
Leiria,2006:08:21 07:20:00,0,1,R S MIGUEL,,Despiste simples
Leiria,2006:08:28 00:40:00,1,0,A1,"124,780",Col.tras.c/outro veíc.em mov.
Leiria,2006:08:29 23:40:00,1,1,EN109,"165,360",Colisão frontal
Leiria,2006:09:06 15:20:00,0,1,EN1,"129,700",Atrop.de peões
Leiria,2006:09:07 18:20:00,0,1,R. Emídio Oliv. Faria,,Colisão frontal
Leiria,2006:09:18 02:15:00,1,0,EN1,"130,400",Atrop.de peões
Leiria,2006:09:26 17:20:00,0,1,R Escola,,Col.lat.c/outro veíc.em mov.
Leiria,2006:09:28 10:55:00,1,1,EN242,"1,550",Colisão frontal
Leiria,2006:09:30 19:10:00,0,1,R. Paulo VI,,Col.lat.c/outro veíc.em mov.
Leiria,2006:09:30 21:25:00,0,1,R. Principal Gandara,,Atrop.de peões
Leiria,2006:10:07 14:30:00,0,2,IC2,"121,900",Col.lat.c/outro veíc.em mov.
Leiria,2006:10:14 00:10:00,0,1,A1,"132,200",Desp.c/transp.do disp.de ret.lat.
Leiria,2006:10:15 14:45:00,0,1,EN113,"7,100",Colisão frontal
Leiria,2006:10:28 14:26:00,3,1,FERREA,,Col.lat.c/outro veíc.em mov.
Leiria,2006:10:28 19:20:00,0,1,Av. Com. Europeia,,Despiste simples
Leiria,2006:11:02 07:30:00,2,0,EM1183,,Desp.c/col.c/veíc.imobil.ou obst.
Leiria,2006:11:10 19:20:00,0,1,R Martires,,Atrop.de peões
Leiria,2006:11:30 01:05:00,0,1,R. Principal,,Despiste simples
Leiria,2006:12:04 15:00:00,1,0,EN109,"150,950",Col.lat.c/outro veíc.em mov.
Leiria,2006:12:12 15:15:00,0,1,EM1218,"2,400",Despiste simples
Leiria,2006:12:15 12:10:00,1,0,Estr. Pedreiras,,Colisão com outras situações
Leiria,2006:12:19 12:00:00,0,3,EN1,"133,030",Colisão frontal
Leiria,2006:12:21 23:20:00,0,2,R. Cooperativa,,Col.tras.c/outro veíc.em mov.
Leiria,2006:12:23 20:45:00,0,1,R. Paulo VI,,Col.lat.c/outro veíc.em mov.
Leiria,2006:12:26 08:20:00,0,1,EN356-1,"5,000",Colisão frontal
Leiria,2006:12:26 14:05:00,0,1,R. Amendoa,,Col.tras.c/outro veíc.em mov.
Marinha Grande,2006:01:17 21:30:00,0,1,Estrada Municipal,,Desp.c/col.c/veíc.imobil.ou obst.
