Concelho,Datahora,M*,FG*,,Via,km,Natureza
Aljustrel,2010-04-18 16:45,0,2,EN263,,"50,600",Colisão frontal
Aljustrel,2010-07-19 16:45,0,1,EM527,,,Colisão frontal
Aljustrel,2010-09-01 09:30,0,1,A2,,"141,300",Colisão tras. c/outro veíc.mov.
Aljustrel,2010-12-02 19:20,0,1,EN263,,"51,100",Despiste c/capotamento
Almodôvar,2010-04-06 16:18,0,2,A2,,"198,400",Col. c/ veic./obst.f. rodagem
Almodôvar,2010-06-13 05:00,1,0,R Ant. Cândido Colaço,,,Despiste simples
Almodôvar,2010-07-11 13:00,0,1,EN2,,"669,200",Colisão lat. c/outro veíc.mov.
Almodôvar,2010-08-27 13:05,0,2,A2,,"189,800",Despiste c/capotamento
Almodôvar,2010-09-01 06:35,0,1,A2,,"197,100",Despiste c/capotamento
Almodôvar,2010-09-19 18:00,1,0,Estrada Municipal,,,Despiste simples
Almodôvar,2010-09-19 20:00,1,3,EN2,,"656,300",Colisão tras. c/outro veíc.mov.
Almodôvar,2010-11-21 03:55,1,0,EN2,,"651,100",Despiste c/capotamento
Alvito,2010-04-25 20:15,0,1,R 25 ABRIL,,,Despiste simples
Alvito,2010-12-02 19:20,0,1,EN258,,"2,000",Colisão frontal
Beja,2010-04-21 20:15,0,2,EN18,,"338,000",Colisão frontal
Beja,2010-07-02 00:45,0,1,EN18,,"338,600",Colisão frontal
Beja,2010-07-16 13:00,1,2,EN260,,"6,800",Despiste c/capotamento
Beja,2010-07-24 17:00,0,1,Estrada Municipal,,,Despiste simples
Beja,2010-07-31 14:15,0,1,EN18,,"337,200",Despiste c/capotamento
Beja,2010-07-31 16:00,0,1,Outra Via,,,Despiste c/capotamento
Beja,2010-08-06 08:20,0,1,Rua Dom Afonso III,,,Atropelamento de peões
Beja,2010-08-30 00:20,1,0,EM513,,,Despiste c/capotamento
Beja,2010-09-23 22:47,0,1,Lg. Duques de Beja,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Beja,2010-11-30 23:45,0,1,IP2,,"366,500",Despiste simples
Beja,2010-12-02 17:45,1,0,EN260,,"3,047",Despiste simples
Castro Verde,2010-07-17 11:30,0,2,A2,,"180,600",Colisão tras. c/outro veíc.mov.
Castro Verde,2010-10-17 06:45,0,2,R DE MERTOLA,,,Despiste simples
F. do Alentejo,2010-01-11 17:20,1,1,EN259,,"26,400",Despiste simples
F. do Alentejo,2010-07-13 15:50,1,0,EN259,,"29,300",Colisão lat. c/outro veíc.mov.
F. do Alentejo,2010-08-12 16:40,1,0,EN383,,"47,260",Despiste c/capotamento
F. do Alentejo,2010-08-27 17:09,1,0,EN2,,"586,120",Despiste c/capotamento
F. do Alentejo,2010-09-02 10:20,0,1,EN259,,"39,440",Colisão lat. c/outro veíc.mov.
F. do Alentejo,2010-09-25 12:20,1,0,EN121,,"59,600",Despiste simples
F. do Alentejo,2010-10-29 01:50,0,1,EN2,,"593,300",Despiste simples
F. do Alentejo,2010-11-22 22:46,0,2,EN121,,"52,200",Desp. c/col. c/veíc. imobil./obst.
