"",
11. Listagem dos acidentes com mortos e/ou feridos graves,
"",
Concelho Datahora M* FG* Km Via,Natureza
Alandroal 2004:03:22 16:30:00 0 1 EM541,Atropelamento de peões
"Alandroal 2004:05:01 10:30:00 0 1 23,200 EN255",Despiste c/capotamento
"Alandroal 2004:06:27 14:30:00 0 1 49,500 EN373",Despiste c/capotamento
Alandroal 2004:06:13 18:45:00 0 1 EM511,Despiste c/capotamento
"Alandroal 2004:06:18 08:00:00 0 1 51,300 EN373",Despiste c/capotamento
"Alandroal 2004:06:17 10:20:00 0 1 30,710 EN255",Col. traseira c/veic. em mov.
Alandroal 2004:05:03 00:10:00 0 1 Outra Via,Atropelamento de peões
Alandroal 2004:08:20 10:10:00 0 1 EM541,Despiste simples
Alandroal 2004:12:27 10:15:00 1 0 EM,Col. c/veic. ou obst. faixa rod.
"Alandroal 2004:01:18 19:00:00 0 1 69,550 EN373",Despiste simples
"Arraiolos 2004:02:08 15:00:00 2 2 116,043 EN4",Colisão frontal
"Arraiolos 2004:10:21 08:45:00 0 1 95,285 EN4",Colisão frontal
"Arraiolos 2004:09:20 18:05:00 0 1 122,400 EM1147",Col. lat. c/veic. em mov.
Arraiolos 2004:05:08 15:00:00 0 1 EM527,Col. traseira c/veic. em mov.
Borba 2004:12:22 12:30:00 0 1 Av.. 25 de Abril,Atropelamento de peões
Estremoz 2004:04:08 21:00:00 0 1 EM,Col. lat. c/veic. em mov.
"Estremoz 2004:05:09 15:15:00 1 2 108,750 A6",Despiste simples
"Estremoz 2004:05:14 17:35:00 0 2 22,400 EM504",Colisão frontal
"Estremoz 2004:06:15 06:00:00 0 1 5,900 EM508",Desp.c/colisão c/veíc.imob./obst.
"Estremoz 2004:08:06 19:30:00 0 1 94,100 A6",Desp. c/transp. disp. ret. lateral
"Estremoz 2004:11:29 08:00:00 1 4 102,200 A6",Despiste c/capotamento
"Estremoz 2004:12:20 21:30:00 0 1 140,600 EN4",Despiste c/capotamento
"Estremoz 2004:10:08 13:30:00 0 1 93,600 A6",Despiste simples
Estremoz 2004:03:28 03:45:00 0 1 Av. Sto. António,Despiste simples
"Évora 2004:07:22 06:30:00 0 1 263,150 EN18",Colisão frontal
"Évora 2004:07:15 17:15:00 0 1 64,800 EN254",Desp.c/colisão c/veíc.imob./obst.
"Évora 2004:07:08 17:15:00 0 1 14,000 EN256",Col. lat. c/veic. em mov.
"Évora 2004:08:11 01:50:00 2 0 13,128 EN256",Despiste c/capotamento
"Évora 2004:08:27 19:55:00 1 0 84,050 A6",Col. c/veic. ou obst. faixa rod.
"Évora 2004:09:26 19:45:00 1 0 58,464 A6",Desp.c/colisão c/veíc.imob./obst.
"Évora 2004:09:24 06:55:00 0 1 53,300 EN254",Despiste simples
"Évora 2004:10:03 18:07:00 1 0 EN18",Despiste c/capotamento
"Évora 2004:10:16 18:50:00 1 0 88,200 EN380",Despiste c/capotamento
"Évora 2004:12:30 05:30:00 0 1 250,100 EN18",Desp.c/colisão c/veíc.imob./obst.
"Évora 2004:10:05 15:05:00 0 1 63,270 A6",Despiste simples
"Évora 2004:12:16 15:30:00 0 1 181,300 EN114",Colisão frontal
"Évora 2004:01:13 14:20:00 0 2 Estr. Reguengos",Col. lat. c/veic. em mov.
"Évora 2004:02:12 20:10:00 0 1 EN18",Col. lat. c/veic. em mov.
"Évora 2004:04:17 19:40:00 0 1 VAR-SUL",Col. lat. c/veic. em mov.
"Évora 2004:06:23 18:00:00 0 1 Av. Eng. Coutinho",Atropelamento de peões
"Évora 2004:06:28 17:40:00 0 1 Av. Fontanas",Col. c/veic. ou obst. faixa rod.
"Évora 2004:08:07 23:30:00 0 1 Rotunda Lagoa/Rotunda Avis",Despiste simples
"Évora 2004:10:29 15:30:00 0 1 Rotunda Cruz Picado",Col. lat. c/veic. em mov.
"Évora 2004:11:02 14:45:00 0 1 Estr. Alcáçovas",Despiste c/capotamento
"Évora 2004:11:30 07:36:00 0 1 Cruzeiro",Col. lat. c/veic. em mov.
"Évora 2004:12:02 08:15:00 0 2 Estr. Viana",Col. lat. c/veic. em mov.
"Évora 2004:10:20 17:20:00 0 1 Av. Lisboa",Atropelamento de peões
"Évora 2004:09:11 21:35:00 0 1 Rotunda Chafariz",Atropelamento de peões
"Évora 2004:07:31 23:40:00 0 1 VAR-SUL",Col. lat. c/veic. em mov.
"Évora 2004:06:27 23:00:00 0 1 Estr. Arraiolos",Despiste simples
"Évora 2004:05:13 08:45:00 0 1 Av. Lisboa",Despiste simples
"Évora 2004:04:19 18:10:00 0 1 Av. Comb. Grande Guerra",Atropelamento com fuga
"Évora 2004:02:20 09:00:00 1 0 283,047 IP2",Colisão frontal
"Évora 2004:03:29 17:45:00 0 1 270,600 EN18",Colisão frontal
"Évora 2004:03:26 08:15:00 0 1 283,600 EN18",Colisão frontal
"Évora 2004:07:21 12:25:00 0 1 1,600 EN114-4",Col. lat. c/veic. em mov.
"Évora 2004:06:04 12:45:00 0 1 61,150 A6",Despiste simples
