"",,
11. Listagem dos acidentes com mortos e/ou feridos graves,,
"",,
Concelho Datahora M* FG* Via,km,Natureza
"Águeda 2007:01:12 04:40:00 0 1 EN1","236,400",Colisão frontal
"Águeda 2007:01:17 17:30:00 1 0 Estrada Municipal",,Despiste simples
"Águeda 2007:01:24 01:15:00 0 1 Estrada Municipal",,Atropelamento peões
"Águeda 2007:01:27 14:40:00 0 1 EN333","23,000",Colisão frontal
"Águeda 2007:02:01 19:00:00 0 1 R PRINCIPAL",,Atropelamento peões
"Águeda 2007:02:12 19:28:00 1 0 EN333","27,600",Colisão com fuga
"Águeda 2007:02:28 12:50:00 0 1 R PONTE RIO MARNEL",,Col. c/ veíc./obst. f. rodagem
"Águeda 2007:03:02 15:30:00 0 1 R CABEDE E LENCASTRE",,Despiste simples
"Águeda 2007:03:10 23:50:00 1 0 R VIEIRA",,Col. tras. c/ outro veíc. mov.
"Águeda 2007:04:01 04:45:00 0 4 Estrada Municipal",,Despiste c/ col c/ veíc. imob/obst.
"Águeda 2007:04:01 12:45:00 0 1 R N SRA FATIMA",,Despiste simples
"Águeda 2007:04:07 07:50:00 0 1 EN1","228,300",Col. lat. c/ outro veíc. mov.
"Águeda 2007:04:26 21:25:00 0 1 R ESCOLAS",,Col. lat. c/ outro veíc. mov.
"Águeda 2007:05:03 19:45:00 0 1 R EIRAS",,Col. lat. c/ outro veíc. mov.
"Águeda 2007:05:03 22:20:00 0 1 EN1","228,550",Col. tras. c/ outro veíc. mov.
"Águeda 2007:06:09 23:30:00 0 1 EN1","228,000",Colisão frontal
"Águeda 2007:07:08 17:50:00 1 0 EN1","235,600",Col. lat. c/ outro veíc. mov.
"Águeda 2007:07:12 21:00:00 0 1 R STO ANDRE",,Col. c/ veíc./obst. f. rodagem
"Águeda 2007:07:16 17:19:00 0 1 A25","31,800",Desp. c/ capotamento
"Águeda 2007:07:23 20:30:00 1 2 EN333","19,700",Col. lat. c/ outro veíc. mov.
"Águeda 2007:08:02 16:00:00 0 1 A25","30,900",Colisão frontal
"Águeda 2007:08:15 12:30:00 0 1 R PRINCIPAL",,Despiste simples
"Águeda 2007:10:27 23:40:00 0 1 R EMIGRANTE",,Colisão frontal
"Águeda 2007:10:30 08:35:00 1 0 R VIEIRA",,Colisão frontal
"Águeda 2007:12:10 23:35:00 0 2 R D DUARTE LEMOS",,Despiste c/ col c/ veíc. imob/obst.
"Águeda 2007:12:17 10:00:00 0 1 ESTR PONTE NOVA",,Despiste simples
"Águeda 2007:12:23 17:50:00 0 2 EM573",,Colisão frontal
"Águeda 2007:12:23 19:00:00 1 0 EN336","1,250",Atropelamento peões
"Águeda 2007:12:25 13:40:00 0 1 R N SRA FATIMA",,Despiste simples
Alberg-a-Velha 2007:02:02 20:45:00 0 1 EM533,,Despiste simples
Alberg-a-Velha 2007:02:12 22:30:00 0 1 VAR-SOBREI,,Col. lat. c/ outro veíc. mov.
Alberg-a-Velha 2007:03:06 19:40:00 1 0 EN1,"252,850",Col. lat. c/ outro veíc. mov.
Alberg-a-Velha 2007:03:31 15:05:00 0 2 R MAJ GERALDO,,Atropelamento peões
Alberg-a-Velha 2007:04:21 18:20:00 1 0 EN16-3,"8,600",Despiste c/ col c/ veíc. imob/obst.
Alberg-a-Velha 2007:06:08 23:33:00 0 1 EN1,"248,800",Col. c/ veíc./obst. f. rodagem
Alberg-a-Velha 2007:06:22 17:30:00 1 0 EN16,"27,000",Colisão frontal
Alberg-a-Velha 2007:07:23 09:15:00 0 1 A1,"245,880",Col. tras. c/ outro veíc. mov.
Alberg-a-Velha 2007:08:03 08:40:00 0 1 EN320-2,"2,100",Colisão frontal
Alberg-a-Velha 2007:09:23 18:00:00 1 0 EN1,"249,600",Despiste c/ col c/ veíc. imob/obst.
Alberg-a-Velha 2007:10:02 14:45:00 0 1 EN1,"245,900",Colisão frontal
Alberg-a-Velha 2007:12:30 07:10:00 0 1 A1,"239,200",Colisão choque em cadeia
Anadia 2007:01:11 17:05:00 0 1 R S MARTINHO,,Col. lat. c/ outro veíc. mov.
Anadia 2007:01:15 18:25:00 0 2 EN334,"31,300",Colisão frontal
Anadia,2007:01:18 10:10:00,0,1,IC2,"222,000",Despiste simples
Anadia,2007:02:21 17:10:00,0,2,EN1,"215,000",Col. lat. c/ outro veíc. mov.
Anadia,2007:03:03 02:28:00,0,1,Estrada Municipal,,Despiste simples
Anadia,2007:03:03 18:18:00,0,1,R ROSSIO,,Atropelamento peões
Anadia,2007:03:05 18:30:00,0,1,R PARAISO,,Atropelamento peões
"",,,,,,,
Concelho,Datahora,M*,FG*,,Via,km,Natureza
Anadia,2007:03:28 09:10:00,0,1,EN333-1,,"16,000",Desp. c/ capotamento
Anadia,2007:04:03 16:25:00,0,1,IC2,,"221,100",Colisão frontal
Anadia,2007:04:04 18:45:00,0,1,R CENTRO CULTURAL,,,Despiste c/ col c/ veíc.
"",,,,,,,imob/obst.
Anadia,2007:04:06 20:30:00,1,0,R ADRIANO HENRIQUES,,,Atropelamento peões
Anadia,2007:05:08 12:00:00,0,1,IC2,,"223,700",Atropelamento peões
Anadia,2007:07:03 13:00:00,0,1,IC2,,"216,900",Col. lat. c/ outro veíc. mov.
Anadia,2007:07:17 14:15:00,0,1,R CANICEIRA,,,Despiste simples
Anadia,2007:07:18 08:40:00,0,1,IC2,,"213,300",Col. c/ veíc./obst. f. rodagem
Anadia,2007:07:30 21:00:00,0,1,EN235,,"28,600",Despiste simples
Anadia,2007:08:15 11:30:00,0,1,R CEMITERIO,,,Colisão frontal
Anadia,2007:08:17 11:00:00,1,1,A1,,"222,540",Despiste c/ transp. disp. ret. lateral
Anadia,2007:09:17 06:50:00,0,1,IC2,,"220,600",Despiste simples
Anadia,2007:10:06 09:40:00,0,1,EN334,,"22,000",Col. lat. c/ outro veíc. mov.
Anadia,2007:10:10 09:25:00,0,1,IC2,,"217,900",Atropelamento c/ fuga
Anadia,2007:10:13 19:55:00,0,1,EN235,,"20,900",Col. tras. c/ outro veíc. mov.
Anadia,2007:10:21 18:30:00,1,1,IC2,,"213,400",Colisão frontal
Anadia,2007:10:31 06:55:00,0,1,IC2,,"222,800",Atropelamento c/ fuga
Arouca,2007:02:01 20:50:00,0,1,EN326,,"37,800",Atropelamento peões
Arouca,2007:03:30 14:55:00,0,1,EN1,,"240,000",Col. lat. c/ outro veíc. mov.
Arouca,2007:11:26 02:15:00,0,1,EN327,,"3,000",Desp. c/ capotamento
Aveiro,2007:02:12 19:25:00,0,1,AV DA UNIVERSIDADE,,,Atropelamento peões
Aveiro,2007:02:14 14:15:00,0,1,R PRINCIPAL,,,Col. lat. c/ outro veíc. mov.
Aveiro,2007:02:25 19:30:00,0,1,ZONA INDUSTRIAL TABOEIRA,,,Colisão frontal
Aveiro,2007:03:08 17:15:00,0,1,EN109,,"59,500",Col. lat. c/ outro veíc. mov.
Aveiro,2007:03:19 14:10:00,0,1,R VISEU,,,Col. lat. c/ outro veíc. mov.
Aveiro,2007:04:10 01:00:00,0,1,EN235,,"3,000",Col. tras. c/ outro veíc. mov.
Aveiro,2007:04:23 08:50:00,0,1,R CLUBE GALITOS,,,Atropelamento peões
Aveiro,2007:05:08 08:40:00,0,1,ESTR S BERNARDO,,,Atropelamento peões
Aveiro,2007:05:16 23:50:00,1,0,A1,,"238,539",Desp. c/ capotamento
Aveiro,2007:05:20 22:15:00,0,1,R VISO,,,Despiste simples
Aveiro,2007:06:14 02:20:00,0,1,EN109,,,Desp. c/ capotamento
Aveiro,2007:07:05 22:40:00,0,1,GRANJA CIMA,,,Desp. c/ capotamento
Aveiro,2007:07:06 20:15:00,1,0,R STO ANDRE,,,Atropelamento peões
Aveiro,2007:07:11 22:40:00,0,2,EN109,,"60,000",Col. c/ veíc./obst. f. rodagem
Aveiro,2007:07:26 12:00:00,0,1,EN230,,"8,000",Col. tras. c/ outro veíc. mov.
Aveiro,2007:07:26 22:40:00,1,1,EN235,,"9,250",Col. lat. c/ outro veíc. mov.
Aveiro,2007:07:27 21:30:00,0,1,R CAPELA BOM SUCESSO,,,Col. lat. c/ outro veíc. mov.
Aveiro,2007:08:03 15:25:00,1,1,A1,,"233,600",Col. tras. c/ outro veíc. mov.
